id	_neGOQ8oLCo
published	2020-04-22 02:15:00
published_unix	1587521700
title	Climate change is making this country disappear
description	Residents of the Marshall Islands in the Pacific are fighting to save their island nation which is at risk of being inundated by rising sea levels due to climate change. But, in the face of uncertainty, thousands of Marshallese have decided to move to an unlikely enclave— in America's Deep South. #ClimateChange #CNN #News
channelId	UCupvZG-5ko_eiXAupbDfxWw
channelTitle	CNN
duration	PT7M5S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	63739
likeCount	977
dislikeCount	179
favoriteCount	0
commentCount	443
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
