id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugy7xwfcOvKp2n9vmcB4AaABAg	5	65	2020-04-22 02:29:27	Watergrove High Priestess	If the Islands continue to disapear, relocate as a collective and carry on your culture in another land. Stick together beautiful people.	UC-ULsG8HC5FSUD6DR1j10jA	http://www.youtube.com/channel/UC-ULsG8HC5FSUD6DR1j10jA	0		
Ugy7xwfcOvKp2n9vmcB4AaABAg.97jZ6Cc9ICG9D3YUKmb1Wt		0	2020-09-01 12:45:02	MrLoobu	@RojoDiver LOL yea right. America giving land to foreigners in 2020.	UCXtQdmLTnYxNOhNbtPneaAw	http://www.youtube.com/channel/UCXtQdmLTnYxNOhNbtPneaAw	1	Ugy7xwfcOvKp2n9vmcB4AaABAg	Watergrove High Priestess
Ugy7xwfcOvKp2n9vmcB4AaABAg.97jZ6Cc9ICG97kZ4qLBvz4		0	2020-04-22 11:48:30	Lucius Kiirus	How will becoming Communist help them? Collectivism will destroy the memory of who they once were.	UC8JyR52r7FSanrS8H5DJ78g	http://www.youtube.com/channel/UC8JyR52r7FSanrS8H5DJ78g	1	Ugy7xwfcOvKp2n9vmcB4AaABAg	Watergrove High Priestess
Ugy7xwfcOvKp2n9vmcB4AaABAg.97jZ6Cc9ICG97jyS8ByUmJ		4	2020-04-22 06:19:38	Iso Joe	All islands will be affected by these rising sea levels.	UCPUbQ4Tp_CAS3QzsxZZ1EnA	http://www.youtube.com/channel/UCPUbQ4Tp_CAS3QzsxZZ1EnA	1	Ugy7xwfcOvKp2n9vmcB4AaABAg	Watergrove High Priestess
Ugy7xwfcOvKp2n9vmcB4AaABAg.97jZ6Cc9ICG97jqu9LC9kx		0	2020-04-22 05:13:42	Coco Taveras	RojoDiver True! Good idea!	UC2YOCu4foVIqq7INNjPUetQ	http://www.youtube.com/channel/UC2YOCu4foVIqq7INNjPUetQ	1	Ugy7xwfcOvKp2n9vmcB4AaABAg	Watergrove High Priestess
Ugy7xwfcOvKp2n9vmcB4AaABAg.97jZ6Cc9ICG97jnaGnSqmL		3	2020-04-22 04:44:46	RojoDiver	I'm thinking that Florida or Miami in the US, part of the British Virgin Islands, or Tropical Nth QLD or Western Australia, in Australia, could give them like 10 to 15 thousand square miles to start a new country.	UCL_00use_fIkNHacS8IKSKw	http://www.youtube.com/channel/UCL_00use_fIkNHacS8IKSKw	1	Ugy7xwfcOvKp2n9vmcB4AaABAg	Watergrove High Priestess
UgydwOhx-jEYBe2yZPZ4AaABAg	0	10	2020-04-23 08:03:16	AdvExploRish	The Earth does not belong to us, We belong to the Earth. - Chief Seattle	UCXB4pp8mTFCSPsMCbMOu-rQ	http://www.youtube.com/channel/UCXB4pp8mTFCSPsMCbMOu-rQ	0		
Ugw2NUjrJZwgIrpFhkx4AaABAg	6	34	2020-04-22 03:45:07	Aaron Burr Atwood.	This guys voice is great for narration, he seems like a good news person.	UCpWNMxadPYmSKCDfpsTelIw	http://www.youtube.com/channel/UCpWNMxadPYmSKCDfpsTelIw	0		
Ugw2NUjrJZwgIrpFhkx4AaABAg.97jglQ51uE597mWYILYZ0a		0	2020-04-23 06:04:48	D	@Brion Stronghold By your logic Drumf is a fake also, expressly because we didn't vote him into office. #facts	UCcVz1ypbnzbL_kgMydcjCGg	http://www.youtube.com/channel/UCcVz1ypbnzbL_kgMydcjCGg	1	Ugw2NUjrJZwgIrpFhkx4AaABAg	Aaron Burr Atwood.
Ugw2NUjrJZwgIrpFhkx4AaABAg.97jglQ51uE597kv2wcxz0l		0	2020-04-22 15:09:13	Anna Koch	@King Mucho it's a troll...	UCqSdFgKKwvcJVDrvyI-h0EA	http://www.youtube.com/channel/UCqSdFgKKwvcJVDrvyI-h0EA	1	Ugw2NUjrJZwgIrpFhkx4AaABAg	Aaron Burr Atwood.
