id	bvutiLuch_E
published	2017-05-31 20:59:40
published_unix	1496264380
title	Paris Climate Agreement explained
description	The United States is one of 195 nations who have signed on to the Paris Climate agreement. What is the accord and will President Trump keep or cancel the U.S.’s pledge?
channelId	UCXIJgqnII2ZOINSWNOGFThA
channelTitle	Fox News
duration	PT2M42S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	65488
likeCount	431
dislikeCount	174
favoriteCount	0
commentCount	358
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
