id	eEguQX9UHBw
published	2021-01-27 19:04:14
published_unix	1611774254
title	Pres. Biden Delivers Remarks on the Climate Crisis | LIVE
description	BIDEN SIGNS EXECUTIVE ACTIONS ADDRESSING CLIMATE CRISIS: Pres. Biden is delivering remarks before signing executive actions tackling the climate crisis, which the White House has called ‘an essential element of U.S. foreign policy and national security.’ » Subscribe to NowThis: http://go.nowth.is/News_Subscribe » Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis As some of his first executive actions he took after being sworn into office, Biden rejoined the Paris climate agreement and revoked the permit issued to greenlight the Keystone XL pipeline. Today, Biden will sign additional actions to create more clean jobs, reject new oil and gas leases on public lands and water, and address environmental racism in communities disproportionately affected by climate issues. For more politics and climate news, subscribe to NowThis News. #JoeBiden #ClimateCrisis #Envrionment #Politics #News #NowThis Connect with NowThis » Like us on Facebook: http://go.nowth.is/News_Facebook » Tweet us on Twitter: http://go.nowth.is/News_Twitter » Follow us on Instagram: http://go.nowth.is/News_Instagram » Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live. http://www.youtube.com/nowthisnews @nowthisnews
channelId	UCn4sPeUomNGIr26bElVdDYg
channelTitle	NowThis News
duration	PT22M30S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	12816
likeCount	645
dislikeCount	61
favoriteCount	0
commentCount	186
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
