id	eaFV3I240AY
published	2020-12-11 13:59:51
published_unix	1607695191
title	Greta Thunberg on Understanding the Climate Crisis Gravity | NowThis
description	‘We cannot solve a crisis without treating it as a crisis’ — Greta Thunberg says raising awareness will be more powerful moving forward than political action and ‘empty words.’ » Subscribe to NowThis: http://go.nowth.is/News_Subscribe » Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis For more stories on the climate crisis and world news, subscribe to NowThis News. #GretaThunberg #ClimateCrisis #ClimateChange #News #NowThis #NowThisNews Connect with NowThis » Like us on Facebook: http://go.nowth.is/News_Facebook » Tweet us on Twitter: http://go.nowth.is/News_Twitter » Follow us on Instagram: http://go.nowth.is/News_Instagram » Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live. http://www.youtube.com/nowthisnews @nowthisnews
channelId	UCn4sPeUomNGIr26bElVdDYg
channelTitle	NowThis News
duration	PT3M5S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	14729
likeCount	1114
dislikeCount	244
favoriteCount	0
commentCount	297
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
