id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugy7LSAinC--n-4N3bR4AaABAg	14	106	2020-06-30 14:20:27	Beth _drew	anyone else watching this for geography, quarantine, homeschool?	UCZTOcV2ACr0lcu5Rip-PUSg	http://www.youtube.com/channel/UCZTOcV2ACr0lcu5Rip-PUSg	0		
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9Ku8nLVrOua		0	2021-03-15 07:59:19	Maé Bnte	yep	UCU1SuJbpbwJI59i8PEZf8Lw	http://www.youtube.com/channel/UCU1SuJbpbwJI59i8PEZf8Lw	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9KE20DAU5g5		0	2021-02-26 14:12:42	MissLynx	Imagine Im watching for science 💀	UCKdQoOiMSeIU2tk7vbZTAIg	http://www.youtube.com/channel/UCKdQoOiMSeIU2tk7vbZTAIg	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9JxoEQDYCE5		0	2021-02-19 21:36:29	Rocko Playz	ye	UCA7zAsIcNighdxZt7kSkg-w	http://www.youtube.com/channel/UCA7zAsIcNighdxZt7kSkg-w	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9J0WIcQEWh6		0	2021-01-27 11:36:36	Enzo Charalambous	@seufze mein Leben ha I have it for geography	UCrXpzYfED_Y7VgnRiMAGwsA	http://www.youtube.com/channel/UCrXpzYfED_Y7VgnRiMAGwsA	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9IwPQLxsdjW		0	2021-01-25 12:00:17	Valaxar_Jan	@seufze mein Leben idk i have to watch this for geography and i got in trouble for shouting YAY FREE SWIMMING POOL =/	UCY1S13Vq78Yhu3rgVOQvnXQ	http://www.youtube.com/channel/UCY1S13Vq78Yhu3rgVOQvnXQ	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9IDHkxgqgRL		2	2021-01-07 14:08:16	seufze mein Leben	can u explain what the fuck this has to do with English?	UCdBqe3h0ExVEpTMKGfveGxA	http://www.youtube.com/channel/UCdBqe3h0ExVEpTMKGfveGxA	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9HNpVZXUHkS		0	2020-12-17 19:52:52	PIn Interiors	https://www.youtube.com/watch?v=y564PsKvNZs	UCVZ5efd8d3YNA8w94KJn7jg	http://www.youtube.com/channel/UCVZ5efd8d3YNA8w94KJn7jg	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9Eqat-4C42U		0	2020-10-15 19:48:10	spillarge	@Jessica Holmes Jessica, please watch this video link below as it will provide you with the real science based facts about climate change without the nonsense politics and ideology: https://www.youtube.com/watch?v=NX_nqbasMo0	UCF6shV7CZCfTkfjMEfY-opA	http://www.youtube.com/channel/UCF6shV7CZCfTkfjMEfY-opA	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9EdVimm8l1T		0	2020-10-10 17:44:13	Jessica Holmes	spillarge ahh yes I see, thank you for pointing that out!	UCr6my7ID0IUtvqByOI1Epxg	http://www.youtube.com/channel/UCr6my7ID0IUtvqByOI1Epxg	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9EcZHCMVMy0		2	2020-10-10 08:56:02	spillarge	@Jessica Holmes Sorry Jessica, I havent had time to reply to you until today. The video is put together by someone who studied philosophy and not the sciences. The whole thrust of the video promotes an ideological view of how you should live your life to change the world. It is based on pure assumption and not scientific facts. For instance it tells the audience that if you eat chicken instead of lamb you can change global climate! This is pure political ideology and not science fact based whatsoever. The video assumes there is a deadline and political assumptions that changing your life to the way suggested will save the world from an assumed deadline and catastrophy. None of this is scientific or factual. People who try to make you live your life a different way are politicians and not scientists.	UCF6shV7CZCfTkfjMEfY-opA	http://www.youtube.com/channel/UCF6shV7CZCfTkfjMEfY-opA	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9EY3OJjI5s-		0	2020-10-08 05:41:11	Jessica Holmes	@spillarge can you explain how its political?	UCr6my7ID0IUtvqByOI1Epxg	http://www.youtube.com/channel/UCr6my7ID0IUtvqByOI1Epxg	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9EOVQQB16Fb		2	2020-10-04 12:33:44	spillarge	dont base your science learning on this video....it is a political video.	UCF6shV7CZCfTkfjMEfY-opA	http://www.youtube.com/channel/UCF6shV7CZCfTkfjMEfY-opA	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9BUwyE0pM29		0	2020-07-24 11:04:24	Lorenzo Blum	Did you cover the carbon footprint of the military industrial complex? If you have not, you definitely should	UCsYupKQPnWV7J3FUsGGwyEA	http://www.youtube.com/channel/UCsYupKQPnWV7J3FUsGGwyEA	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
Ugy7LSAinC--n-4N3bR4AaABAg.9AXVK4JJAHt9AlMyJXe2Rh		0	2020-07-06 08:56:03	Salma Ali	Beth _drew yh	UCI3VV4vttvCzc81B9CQdRvw	http://www.youtube.com/channel/UCI3VV4vttvCzc81B9CQdRvw	1	Ugy7LSAinC--n-4N3bR4AaABAg	Beth _drew
UgxxFMQ8H_yYLRxDbUJ4AaABAg	2	27	2020-10-15 05:31:24	Aira Marie Binuya	Watch it , and do the Activity hahaha	UC3C3RpX53XqmCPKfrDVimmA	http://www.youtube.com/channel/UC3C3RpX53XqmCPKfrDVimmA	0		
UgxxFMQ8H_yYLRxDbUJ4AaABAg.9Ep3pnCcGmc9FDtUBP5PkG		0	2020-10-25 06:12:27	Denice Derla	Hanep ka airaa nandito ka pala HAHAHAHA	UCFb0CtbtpW8y3MYyxHJ1SpQ	http://www.youtube.com/channel/UCFb0CtbtpW8y3MYyxHJ1SpQ	1	UgxxFMQ8H_yYLRxDbUJ4AaABAg	Aira Marie Binuya
