id	lu-VzZ45MwI
published	2019-02-25 15:17:31
published_unix	1551107851
title	Watch: Child Activists Confront Sen. Dianne Feinstein On Climate Change | NBC News
description	A group of children grilled Sen. Dianne Feinstein, D-Calif., about climate change on Friday. The children, who were part of a youth activist group called Sunrise Movement, were campaigning for the Green New Deal. Feinstein appears resistant to the resolution in a video of the meeting, released and edited by Sunrise Movement. » Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC » Watch more NBC video: http://bit.ly/MoreNBCNews NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, and original digital videos. Subscribe to our channel for news stories, technology, politics, health, entertainment, science, business, and exclusive NBC investigations. Connect with NBC News Online! Visit NBCNews.Com: http://nbcnews.to/ReadNBC Find NBC News on Facebook: http://nbcnews.to/LikeNBC Follow NBC News on Twitter: http://nbcnews.to/FollowNBC Follow NBC News on Google+: http://nbcnews.to/PlusNBC Follow NBC News on Instagram: http://nbcnews.to/InstaNBC Follow NBC News on Pinterest: http://nbcnews.to/PinNBC Watch: Child Activists Confront Sen. Dianne Feinstein On Climate Change | NBC News
channelId	UCeY0bbntWzzVIaj2z3QigXg
channelTitle	NBC News
duration	PT2M46S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	56265
likeCount	376
dislikeCount	114
favoriteCount	0
commentCount	465
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
