id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugy5MC0PjLBkLiflMY14AaABAg	0	10	2020-04-06 23:37:46	MeowPau	I sure do love seeing all of the non-scientists &quot;disproving&quot; James&#39; point, even though he is a scientist.	UChYTcWX2iql5f-zDe9xTGsg	http://www.youtube.com/channel/UChYTcWX2iql5f-zDe9xTGsg	0		
UgxbstnKexaKe-MpSuh4AaABAg	1	16	2018-10-29 00:13:54	RadioNul	agricultural revolution was driven by fossil fuels as well	UCOXmsIsWMH6NRuP3ruR1OkQ	http://www.youtube.com/channel/UCOXmsIsWMH6NRuP3ruR1OkQ	0		
UgxbstnKexaKe-MpSuh4AaABAg.8myHY-reI_S8ur20YQA8pt		0	2019-05-13 00:54:44	Bruce Tutty	which one?	UCGCG8PrJ5UMg8XApDFl0AWw	http://www.youtube.com/channel/UCGCG8PrJ5UMg8XApDFl0AWw	1	UgxbstnKexaKe-MpSuh4AaABAg	RadioNul
Ugzn-CH-YJ-8gT03Ca14AaABAg	0	4	2020-02-25 01:23:05	Mister Eagleman	Whether you believe global warming or not, it&#39;s refreshing to see the issue treated with an approach that says &quot;We can do something about this, but it&#39;s up to you&quot;, rather than some of the more alarmist personalities that get popular for shouting about the end of the world.	UC6bkDQRI81rQAWIeKnRJXrw	http://www.youtube.com/channel/UC6bkDQRI81rQAWIeKnRJXrw	0		
UgyVH4eQEffq0B3E8uF4AaABAg	0	2	2019-04-18 18:01:37	gavin hegarty	There is a lot to say in 20 mins. U r going to have holes in ur talk as u address ur talk to different people.	UCmYoF-q8tNm130mEOTL5bkw	http://www.youtube.com/channel/UCmYoF-q8tNm130mEOTL5bkw	0		
UgyBBHLRBnMDBS0xugd4AaABAg	0	6	2019-06-30 04:24:52	Moonette Wolfsong	‘Still still in the hunter gather stage for coal’ huh, never though about it that way. ‘we’re like a flock of birds.’ I’m really liking the imagery you are using.	UC0Skync-oFjd3y11qbF0lfQ	http://www.youtube.com/channel/UC0Skync-oFjd3y11qbF0lfQ	0		
UgxTdE6LBRVTSdsNRKp4AaABAg	0	3	2020-02-23 15:53:07	codyjones109	He seems realistic and serious until the politically sanitized word salad of, this will leed to global hunger. I am gunna have a kid. What if all couples have a kid? These people sell this stuff but dont live it. Oh! Man did not drive woolly mammoths to extinction	UCNmjWaPFPgVHD4DHliC56Iw	http://www.youtube.com/channel/UCNmjWaPFPgVHD4DHliC56Iw	0		
UgwDdfdjp-CObiKq7l54AaABAg	0	1	2020-11-10 14:52:09	Benny Boy	How can you know all this and still have a kid?...	UCOA9pMGv11oKhHqnzXuearg	http://www.youtube.com/channel/UCOA9pMGv11oKhHqnzXuearg	0		
Ugx0vd_cwnv70NBCQNB4AaABAg	0	0	2020-11-23 19:31:15	Ali Movahed	nuclear energy is the solution!	UCvpF_8ZtW1KMXHbbPj5b6QQ	http://www.youtube.com/channel/UCvpF_8ZtW1KMXHbbPj5b6QQ	0		
UgyxGNTxaYTgPAz_QM14AaABAg	0	2	2019-04-17 16:25:23	henflins	This is so simplistic that it should not be featured as a tedtalk. His &quot;france crops&quot; is so narrowly scoped. The food supply has skyrocketed recently. Look at the greening since the 1980s	UChAFqLdxxsqgWuCdAlmShtQ	http://www.youtube.com/channel/UChAFqLdxxsqgWuCdAlmShtQ	0		
UgwJ1evuqCkAwbi6ypB4AaABAg	1	1	2018-09-25 23:54:45	JANE DIMILLO	Thank You, James! Interesting, informative, enlightening.	UCJ6OgDS9D6afEHU8fSSbxnA	http://www.youtube.com/channel/UCJ6OgDS9D6afEHU8fSSbxnA	0		
UgwJ1evuqCkAwbi6ypB4AaABAg.8ldH6rEZW788x2EyZ25qT6		0	2019-07-06 11:41:35	Martin A	How much does he gain for his propaganda	UCjeXYkU0Mc3KmiPtmoy5Bew	http://www.youtube.com/channel/UCjeXYkU0Mc3KmiPtmoy5Bew	1	UgwJ1evuqCkAwbi6ypB4AaABAg	JANE DIMILLO
UgybeA1pE6g1kXvfVkt4AaABAg	13	19	2018-11-25 06:00:01	bart thomassen thomassen	I don&#39;t see the solvability portion. Fossil fuels currently are the only form of energy capable of maintaining human prosperity. Unless we are willing to go nuclear.	UCInFRWIhmYnyFVuPvhANbtQ	http://www.youtube.com/channel/UCInFRWIhmYnyFVuPvhANbtQ	0		
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj9FmqV451jnF		0	2020-11-08 05:19:01	foxrumor	I agree that nuclear is the way to go for now. A majority of the northern US is not capable of producing meaningful solar output without very high coverage. Wind is viable in some areas, but takes a lot of land and requires a lot of maintenance and oil for lubricant. POWER TO THE NUKES!	UCBo4kAXBChGA6AQQA4yqAhg	http://www.youtube.com/channel/UCBo4kAXBChGA6AQQA4yqAhg	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj9DnCqp1QCqB		1	2020-09-19 15:40:18	bart thomassen thomassen	@Neal Tauss I don't think any of that is likely to come to pass. Solar panels and Wind mills provide, what 10% of all energy in the US and cover vast amounts of space. This is not effective nor desirable. High Nuclear power costs are unnecessary and imposed via environmental bureaucracies, blockage, suits etc...If we want a rapid decrease in Carbon by products, then Nukes are the way to go. Creating jobs is not part of the picture and should not be. People who believe millions of jobs will be the result of building solar and wind, are living in a utopia, all things remaining equal.	UCInFRWIhmYnyFVuPvhANbtQ	http://www.youtube.com/channel/UCInFRWIhmYnyFVuPvhANbtQ	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj9DmctQ1vlEJ		0	2020-09-19 10:17:21	Neal Tauss	@bart thomassen thomassen ....EVERYTHING is currently reliant on Fossil Fuels.... this WILL change as Renewables are Brought to Bear... in Fruition. Our only hope for Bridging a non-fordable river is FROM the Banks on which we Stand.... Requisite land is largely and CURRENTLY available in the form of existing Roof-top Space WHICH.... covered in SOLAR reactors along w/ Battery Back-up will progressively begin supplying the majority of our Power needs. The remainder can be provided from such sources as Agri-Solar and Agri-Wind AND others as application individuates. Collateral ECO-damage WILL remediate in refinement as Build-out is progressed by an ecologically Sensitive Renewables Industry WITH.... functioning resolutions CURRENTLY at play auf Deutschland UND.... anderen platzen. Nuclear power is the most HEAVILY subsidized LEAST productive ($/KW) form of energy production historically creating the fewest jobs per KW of energy created and the highest investment returns for the fewest stock holders BECAUSE of the HIGH rate of EXTERNALIZED costing.... even as Solar and Wind.... having been STARVED historically for State'n'Federal funding.... are currently generating MORE jobs and subsequent payroll taxes than ALL the others COMBINED.... and we're JUST getting started.... Nuclear Power puts TOO much wealth and political power into the hands of TOO few people. Roof-top Solar w/ Battery Backup does the obverse.... keeping Way more of that money ON THE KITCHEN TABLE.... with the remainder flung to ALL Four Winds of a Distributive ECOnomy WHILE.... with RAPIDLY falling prices Wind and Solar create MORE employment (PAYROLL TAXES) than ALL other forms of energy Production.... COMBINED. Our Goal IS and SHOULD BE.... MORE than merely Zero Emissions AND.... there YOU go....	UCsNEuvpDZSMVOeLIpKpO50A	http://www.youtube.com/channel/UCsNEuvpDZSMVOeLIpKpO50A	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj9DaPeSiPxEg		0	2020-09-14 16:22:05	bart thomassen thomassen	@Neal Tauss Wind and solar are completely reliant upon fossil fuels both in the construction of these methods but also when they fail. Also, the land needed for both forms is insane and completely impractical. Wind and solar also destroy large numbers of birds and habitat. And obviously these forms are massively subsidized by the govt. I don't see any realistic future for wind and solar. Nuclear power is expensive to build but if your goal is zero emissions, there you go.	UCInFRWIhmYnyFVuPvhANbtQ	http://www.youtube.com/channel/UCInFRWIhmYnyFVuPvhANbtQ	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj9D_ac3A35jM		0	2020-09-14 08:47:23	Neal Tauss	@bartthomassenthomassen...your info is WAAAAYYY BEHIND the times....ALL that.... is changing faster than the Swiss glaciers ARE melting. Nuclear power is the most heavily subsidized least productive ($/KW) form of energy production historically creating the fewest jobs per KW of energy created and the highest investment returns for the fewest stock holders BECAUSE of the HIGH rate of EXTERNALIZED costing.... while with RAPIDLY falling prices Wind and Solar create MORE employment (PAYROLL TAXES) than ALL other forms of energy Production COMBINED. ALL this is available to You ONNN.... the IN-TER-NET. LOOK-IT-UP.	UCsNEuvpDZSMVOeLIpKpO50A	http://www.youtube.com/channel/UCsNEuvpDZSMVOeLIpKpO50A	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj978BAoXqaYB		0	2020-04-07 04:49:14	bart thomassen thomassen	@MeowPau Solar and wind are not practical and they cannot solve our energy needs. Germany has already discovered this fact despite all of their efforts and massive subsidies. Also, the market could not bear the cost. The price of energy would be exorbitant, as it is in Germany and the US would not take it. Further, the rest of the non advanced world would simply be priced out of the game and relegated to stagnation. No, we need fossil fuels for the foreseeable future.	UCInFRWIhmYnyFVuPvhANbtQ	http://www.youtube.com/channel/UCInFRWIhmYnyFVuPvhANbtQ	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj977JvOZsYAX		1	2020-04-06 20:46:23	MeowPau	@bart thomassen thomassen By enough time I mean enough time. It's not hard to understand. If we took the time to install solar panels in every single building, we could spend more time outside of fixing power issues.	UChYTcWX2iql5f-zDe9xTGsg	http://www.youtube.com/channel/UChYTcWX2iql5f-zDe9xTGsg	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj977JBhdJEHj		0	2020-04-06 20:40:01	bart thomassen thomassen	MeowPau Enough time, what does that mean? The economy can’t wait to be accommodated and even so, there really is no evidence for what you are proposing.	UCInFRWIhmYnyFVuPvhANbtQ	http://www.youtube.com/channel/UCInFRWIhmYnyFVuPvhANbtQ	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj977GfB8_XpF		0	2020-04-06 20:17:58	MeowPau	Wind/solar power could maintain human prosperity if enough time was invested into it. If every single building had enough solar panels, humans would last. Fossil fuels and nuclear could eventually be a limited supply, if they are used enough, while sunlight lasts forever.	UChYTcWX2iql5f-zDe9xTGsg	http://www.youtube.com/channel/UChYTcWX2iql5f-zDe9xTGsg	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj95fVlK5_5ax		1	2020-03-01 19:40:30	Michael Jordan	Look up Scotland’s energy system. I believe they are using wind power which generates more electricity than they can use. There are many other sources, sun, wind farms, geothermal power ran my school.	UCBFWM7B0m3i_Yf6F8A8_HMQ	http://www.youtube.com/channel/UCBFWM7B0m3i_Yf6F8A8_HMQ	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj94Our8JFU4z		4	2020-01-30 03:10:46	L WGG	Or unless we start leading a less luxurious life.	UC-j277pxs08Q-OWBxnwXVmQ	http://www.youtube.com/channel/UC-j277pxs08Q-OWBxnwXVmQ	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj8y9apss9nI9		2	2019-08-03 04:47:28	James Bingham	YES Nuclear.	UCz7iD8PB5bBPnhYB8SGMADw	http://www.youtube.com/channel/UCz7iD8PB5bBPnhYB8SGMADw	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgybeA1pE6g1kXvfVkt4AaABAg.8o3Qbb6PtTj8whTjkUmH1s		3	2019-06-28 00:47:21	Peter Shaw	I can hear the Greens convulsing	UCy0VjgTZVMt2LzdZEuX7W-Q	http://www.youtube.com/channel/UCy0VjgTZVMt2LzdZEuX7W-Q	1	UgybeA1pE6g1kXvfVkt4AaABAg	bart thomassen thomassen
UgyhKQJQbqFhZplpqAt4AaABAg	2	4	2019-01-13 12:11:00	Tony Palliser	We need to get the population down ASAP as well	UCA1ywKn8B9TpGxmglLpD7xg	http://www.youtube.com/channel/UCA1ywKn8B9TpGxmglLpD7xg	0		
UgyhKQJQbqFhZplpqAt4AaABAg.8q2G0iUKQ9n9IURlhAxeLF		0	2021-01-14 06:02:50	Argentina Naoma	@Luna Lovegood two words: quarantine babies.	UCN3QnfvN1pAnH3jLopvfqlQ	http://www.youtube.com/channel/UCN3QnfvN1pAnH3jLopvfqlQ	1	UgyhKQJQbqFhZplpqAt4AaABAg	Tony Palliser
UgyhKQJQbqFhZplpqAt4AaABAg.8q2G0iUKQ9n9AP-Wwn4mMY		0	2020-06-27 07:08:40	Luna Lovegood	Who knew Corona would take up the job in a year?	UCZxHp4k1egQyIJ6RrnzjWCw	http://www.youtube.com/channel/UCZxHp4k1egQyIJ6RrnzjWCw	1	UgyhKQJQbqFhZplpqAt4AaABAg	Tony Palliser
Ugwh0dgQs3JkZVWrmC94AaABAg	0	1	2019-01-31 08:24:04	Francis Mausley	Peace, unity and global collaboration are vital to address climate change and all other global issues.“The well-being of mankind, its peace and security, are unattainable unless and until its unity is firmly established” ~ Gleanings from the Writings of Bahá’u’lláh	UCK7GySMThI6Hohtx__UYl5g	http://www.youtube.com/channel/UCK7GySMThI6Hohtx__UYl5g	0		
Ugyl3DraEun0uPCej694AaABAg	0	0	2019-01-09 20:00:41	sebastian funk	this could be interesting for trump...	UCDBq0rh_rsUDJm3rXrWLVAg	http://www.youtube.com/channel/UCDBq0rh_rsUDJm3rXrWLVAg	0		
UgwPS6VD173okxY8A3l4AaABAg	0	0	2019-09-23 06:26:34	94115david	you cannot put the genie back into the bottle.	UC39XYFaOxMT6-IJVdb3zWKg	http://www.youtube.com/channel/UC39XYFaOxMT6-IJVdb3zWKg	0		
