id	sBFdLcNYjb0
published	2019-04-14 13:00:06
published_unix	1555246806
title	Paris Agreement has failed. What now?
description	The Paris Agreement of 2015 was supposed to be a definitive milestone reversing the trajectory of human induced global warming. Every country signed up to targets that they pledged to meet. Almost every country has so far failed. Miserably. So people are now taking more and more direct action to start forcing the issue with the sort of urgency that is so desperately required. 2019 may prove to be a seminal year in this struggle and this Easter sees some radical action on the streets of London and around the world. This week we take a look at what's in store. Climate Activism Websites and General Research Websites below... Global Movements / USA https://riseforclimate.org/ https://350.org/ https://rebellion.earth/the-truth/ New Zealand http://www.nzcan.org/ https://www.wwf.org.nz/what_we_do/climateaction/ http://www.generationzero.org/ https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12204628 Australia https://www.cana.net.au/ https://www.aycc.org.au/ https://www.getup.org.au/ https://www.treehugger.com/environmental-policy/australian-prime-minister-backtracks-bit-climate-change.html https://www.seedmob.org.au/ https://climateanalytics.org/publications/2018/evaluating-australias-climate-and-policy-action/ India https://www.news18.com/news/buzz/students-across-india-skip-school-in-support-of-global-protest-demanding-climate-change-action-2067599.html https://www.downtoearth.org.in/climate-change China https://www.climatechangenews.com/2018/09/25/chinese-public-think-climate-change/ https://lithub.com/can-environmental-activism-succeed-in-china/ Africa https://africasacountry.com/2018/12/the-role-of-indigenous-activism-on-climate-change-in-africa https://medium.com/thebeammagazine/mitigate-climate-change-and-its-consequences-in-africa-119f60240b2 Europe https://www.thelocal.ch/20190407/50000-march-in-switzerland-against-climate-change https://www.campaigncc.org/ https://www.euractiv.com/section/climate-environment/video/watch-greta-thunbergs-full-address-to-eu-politicians-in-brussels/ https://www.fridaysforfuture.org/ Canada http://www.peoplesclimatemovement.ca/ https://www.indigenousclimateaction.com/ South America https://webcache.googleusercontent.com/search?q=cache:xlig8ifHwUwJ:https://research.birmingham.ac.uk/portal/files/56766353/Revised_submission_Action_Research_SI_Climate_Change_Final_Dec_21_1.pdf+&cd=1&hl=en&ct=clnk&gl=th Other Research Sites https://climateactiontracker.org/ https://www.themoscowtimes.com/2018/09/06/russian-ministry-warns-coming-environmental-apocalypse-fueled-climate-change-a62804 https://www.theguardian.com/environment/2019/apr/09/parliament-pension-fund-fossil-fuel-divestment-climate-change?utm_medium=email&utm_source=actionkit https://www.theguardian.com/world/2019/mar/11/greta-thunberg-schoolgirl-climate-change-warrior-some-people-can-let-things-go-i-cant #climatecrisis #fridaysforfuture #extinctionrebellion
channelId	UCRBwLPbXGsI2cJe9W1zfSjQ
channelTitle	Just Have a Think
duration	PT12M19S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	
viewCount	10618
likeCount	882
dislikeCount	57
favoriteCount	0
commentCount	370
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
