id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgzMe4T_O8puXl8y_Jx4AaABAg	5	78	2020-01-03 19:09:41	Huntin	Mr beast we need more trees	UCUwQwaw0eNmVpytG5hbdOeQ	http://www.youtube.com/channel/UCUwQwaw0eNmVpytG5hbdOeQ	0		
UgzMe4T_O8puXl8y_Jx4AaABAg.93L67rOsf4l94d97Ho_5oc		0	2020-02-05 01:12:47	Tania Aranda	Mr: Beast were you at!!	UCAsl_GtnhIzO3sf0qgArYtw	http://www.youtube.com/channel/UCAsl_GtnhIzO3sf0qgArYtw	1	UgzMe4T_O8puXl8y_Jx4AaABAg	Huntin
UgzMe4T_O8puXl8y_Jx4AaABAg.93L67rOsf4l93y-X4kvQ74		1	2020-01-19 07:01:35	DY5T3CTiC	@spillarge Much higher in the past so that temperatures reached 70 degrees Celsius.	UCfL-y38i-d4nGWoxwxO-VqA	http://www.youtube.com/channel/UCfL-y38i-d4nGWoxwxO-VqA	1	UgzMe4T_O8puXl8y_Jx4AaABAg	Huntin
UgzMe4T_O8puXl8y_Jx4AaABAg.93L67rOsf4l93YHbeApTS_		0	2020-01-08 22:00:08	spillarge	You dont need more trees. There are too many plants currently and the Global atmosphere is starved of CO2. If you plant more trees then there will be even less CO2 for the plants needs and global growth will slow again. The Vostok ice core data clearly shows that CO2 levels were much higher in the past and life as a consequence was much more diverse and plentiful.	UCF6shV7CZCfTkfjMEfY-opA	http://www.youtube.com/channel/UCF6shV7CZCfTkfjMEfY-opA	1	UgzMe4T_O8puXl8y_Jx4AaABAg	Huntin
UgzMe4T_O8puXl8y_Jx4AaABAg.93L67rOsf4l93Q9geQ8Fxb		1	2020-01-05 18:16:59	W J	Not Eucalyptus trees though ffs	UCZd_tOLX8qgaCew-Tvhlgkw	http://www.youtube.com/channel/UCZd_tOLX8qgaCew-Tvhlgkw	1	UgzMe4T_O8puXl8y_Jx4AaABAg	Huntin
UgzMe4T_O8puXl8y_Jx4AaABAg.93L67rOsf4l93L91fb2aBM		7	2020-01-03 19:35:03	The Sock	To burn them all o yeh	UCDPQsLJUZfOtAbc7LWJpsNA	http://www.youtube.com/channel/UCDPQsLJUZfOtAbc7LWJpsNA	1	UgzMe4T_O8puXl8y_Jx4AaABAg	Huntin
UgweHxa3bHakY_vYxSF4AaABAg	0	8	2020-01-04 02:25:20	Matth Ille	Dang insurance dilemma is &quot;exasturbating&quot; the situation lol	UCV65X1iXu75rPVObEDexK3A	http://www.youtube.com/channel/UCV65X1iXu75rPVObEDexK3A	0		
UgyKNul8Rx-LHmyH8dl4AaABAg	0	19	2020-01-03 17:56:37	DrMD	Funny how people think if you pay more taxes, the government will be using that money for a good cause. Didn’t Australia’s PM use $250mil to refurbish his plane? Lol	UC4EV18J9uzVH6RWDZKTywdQ	http://www.youtube.com/channel/UC4EV18J9uzVH6RWDZKTywdQ	0		
Ugy94Vj9xkh3BzxqFCB4AaABAg	3	22	2020-01-03 18:35:49	Ron McKenzie	HOW DARE YOU !!!!	UCrcIh4UqO9WzOFbD5JsKC6A	http://www.youtube.com/channel/UCrcIh4UqO9WzOFbD5JsKC6A	0		
Ugy94Vj9xkh3BzxqFCB4AaABAg.93L2Fj3T5ex93WxpC26Sk2		0	2020-01-08 09:39:14	ED LOPEZ	Greta Thumberg lmao	UCEj6SVT9vMJv1ZY59zLBMUA	http://www.youtube.com/channel/UCEj6SVT9vMJv1ZY59zLBMUA	1	Ugy94Vj9xkh3BzxqFCB4AaABAg	Ron McKenzie
