id	wyrpV5msbZk
published	2020-09-30 12:00:14
published_unix	1601467214
title	Flooded By Climate Change: Will India Sink Or Swim? | Insight | Full Episode
description	Climate change is now wreaking havoc in India - the world's second most-populous nation. More than a thousand people have lost their lives so far and tens of thousands have been rendered homeless due to continuous heavy rainfalls and rising flood levels. Floods have affected 11 states in India, including in areas which have never experienced it before. What really are the causes for the increased incidents of flooding in India? Are these seasonal phenomena becoming worse as the years go by? Can India mitigate the adverse impact of climate change and flooding without jeopardising its economic growth objectives and pull millions out of poverty? And how long can the poor bear the brunt of the devastation caused by the extreme weather events? For more great INSIGHT into the top issues affecting Asia: https://www.youtube.com/playlist?list=PLkMf14VQEvTaHr6oTqYbWqKOsmcveuhca ========================== ABOUT THE SHOW: Insight investigates and analyses topical issues that impact Asia and the rest of the world. ========================== #CNAInsider #CNAInsiderInvestigates #Insight #India #ClimateChange For more, SUBSCRIBE to CNA INSIDER! https://cna.asia/insideryoutubesub Follow CNA INSIDER on: Instagram: https://www.instagram.com/cnainsider/ Facebook: https://www.facebook.com/cnainsider/ Website: https://cna.asia/cnainsider
channelId	UC_Lnb8ZHqqgLbp-7hltuT9w
channelTitle	CNA Insider
duration	PT47M39S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	56240
likeCount	511
dislikeCount	47
favoriteCount	0
commentCount	226
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
