position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	tags	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UC3XTzVzaHQEd30rQbuvCtTQ	LastWeekTonight	5scez5dqtAc	2017-06-05T06:30:00Z	2017-06-05 06:30:00	Paris Agreement: Last Week Tonight with John Oliver (HBO)	Donald Trump plans to withdraw the United States from the Paris agreement on climate change. That's bad news for anyone who happens to live on this planet. Connect with Last Week Tonight online... Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight Find Last Week Tonight on Facebook like your mom would: http://Facebook.com/LastWeekTonight Follow us on Twitter for news about jokes and jokes about news: http://Twitter.com/LastWeekTonight Visit our official site for all that other stuff at once: http://www.hbo.com/lastweektonight	last week tonight paris agreement,paris accord,john oliver paris agreement	24	Entertainment	PT20M58S	1258	2d	hd	false	https://i.ytimg.com/vi/5scez5dqtAc/maxresdefault.jpg	1	13021725	176853	12626	0	13747
2	UCuLEr-GWiwCBB6zBDX3elOQ	UN Climate Change	WiGD0OgK2ug	2020-09-24T16:19:23Z	2020-09-24 16:19:23	Ever wondered: What is the 'Paris Agreement', and how does it work?	This video explains the basics of the Paris Agreement: the international UN treaty of 2015 that aims to tackle climate change head on. It's central aim is to strengthen the global response to the threat of climate change by keeping a global temperature rise this century well below 2 degrees Celsius above pre-industrial levels, with ambition to limit the increase even further to 1.5 degrees Celsius. Additionally, the agreement aims to strengthen the ability of countries to deal with the impacts of climate change.	Paris agreement,unfccc,United Nations climate change,climate change,Climate ambition,UN treaty,United Nations	25	News & Politics	PT1M40S	100	2d	hd	false	https://i.ytimg.com/vi/WiGD0OgK2ug/maxresdefault.jpg		21031	93	5	0	6
3	UCAuUUnT6oDeKwE6v1NGQxug	TED	MIA_1xQc7x8	2016-05-11T15:15:47Z	2016-05-11 15:15:47	The inside story of the Paris climate agreement | Christiana Figueres	What would you do if your job was to save the planet? When Christiana Figueres was tapped by the UN to lead the Paris climate conference (COP 21) in December 2015, she reacted the way many people would: she thought it would be impossible to bring the leaders of 195 countries into agreement on how to slow climate change. Find out how she turned her skepticism into optimism — and helped the world achieve the most important climate agreement in history. TEDTalks is a daily video podcast of the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and much more. Find closed captions and translated subtitles in many languages at http://www.ted.com/translate Follow TED news on Twitter: http://www.twitter.com/tednews Like TED on Facebook: https://www.facebook.com/TED Subscribe to our channel: http://www.youtube.com/user/TEDtalksDirector	TED Talk,TED Talks,Christiana Figueres,UNFCCC,COP 21,Paris Agreement,climate change	29	Nonprofits & Activism	PT14M51S	891	2d	hd	true	https://i.ytimg.com/vi/MIA_1xQc7x8/maxresdefault.jpg	1	205893	2786	635	0	537
4	UC8exuytmPBqeM6klg7zBNsQ	Mindscape	1DdfNU5iATU	2017-06-10T21:42:52Z	2017-06-10 21:42:52	Paris agreement simplified	Everything you need to know about Paris agreement is given here. which is easy to understand and gives at most clarity about this agreement. involvement of different countries . we have explained how actually the Paris agreement is going to work Supported by : Designed by Freepik" Designed by starline / Freepik Designed by Brgfx / Freepik" Designed by Graphiqastock / Freepik" Designed by Photoroyalty / Freepik" Designed by Ibrandify / Freepik" Designed by brgfx / Freepik" Designed by Frimufilms / Freepik Designed by Macrovector / Freepik" Music by AShamaluevMusic	paris agreement Detail understanding,paris agreement USA,United states paris agreement,China paris agreement,India paris agreement,paris agreement news,paris agreement simple,what is paris agreement?,paris agreement simplified,paris agreement quick,paris agreement and its effects,paris agreement latest update,co2 intensity,paris agreement,mindscape	25	News & Politics	PT8M32S	512	2d	hd	false	https://i.ytimg.com/vi/1DdfNU5iATU/maxresdefault.jpg	1	113592	1678	200	0	171
5	UCrp_UI8XtuYfpiqluWLD7Lw	CNBC Television	HzLEYJE33ww	2020-10-23T02:43:37Z	2020-10-23 02:43:37	President Donald Trump defends his decision to terminate the Paris agreement on climate change	President Donald Trump and former Vice President Joe Biden participate in the final presidential debate on Thursday at 9 p.m. ET in Nashville, Tenn., moderated by NBC News’ Kristen Welker. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi » Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision » Subscribe to CNBC: https://cnb.cx/SubscribeCNBC » Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide. The News with Shepard Smith is CNBC’s daily news podcast providing deep, non-partisan coverage and perspective on the day’s most important stories. Available to listen by 8:30pm ET / 5:30pm PT daily beginning September 30: https://www.cnbc.com/2020/09/29/the-news-with-shepard-smith-podcast.html?__source=youtube%7Cshepsmith%7Cpodcast Connect with CNBC News Online Get the latest news: http://www.cnbc.com/ Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC https://www.cnbc.com/select/best-credit-cards/ #CNBC #CNBCTV	Bottom Line,CNBC,business news,finance stock,stock market,news channel,news station,breaking news,us news,world news,cable,cable news,finance news,money,money tips	25	News & Politics	PT5M11S	311	2d	hd	false		1	16479	173	41	0	217
6	UCNye-wNBqNL5ZzHSJj3l8Bg	Al Jazeera English	LZN-RxIZReQ	2020-12-12T09:36:23Z	2020-12-12 09:36:23	The state of the world’s climate, five years after Paris agreement	Five years ago today, the Paris agreement was forged, with nations around the globe uniting to fight back against the growing threat of climate change. Since then, extreme weather events from drought, wildfires and superstorms have taken their toll and highlighted a need for action. So how is the world placed in its battle against the climate crisis? Al Jazeera's Nick Clark takes a look. - Subscribe to our channel: http://aje.io/AJSubscribe - Follow us on Twitter: https://twitter.com/AJEnglish - Find us on Facebook: https://www.facebook.com/aljazeera - Check our website: https://www.aljazeera.com/ #AlJazeeraEnglish #ClimateChange #GlobalWarming #ParisAccord	europe news,al jazeera,paris agreement,aljazeera,paris accord,aljazeera english,al jazeera english,pollution,europenews,eu,eu news,aljazeera news,global warming,paris,carbon,aljazeera live,europe,climate change	25	News & Politics	PT2M58S	178	2d	hd	false	https://i.ytimg.com/vi/LZN-RxIZReQ/maxresdefault.jpg	1	3961	85	7	0	17
7	UCBi2mrWuNuyYy4gbM6fU18Q	ABC News	0RaunX9LrC4	2020-11-02T12:26:50Z	2020-11-02 12:26:50	Climate experts discuss US withdrawal from Paris agreement l ABC News	The U.S. is set to officially withdraw from the Paris Climate Agreement on Nov. 4, a day after the presidential election. READ MORE: https://abcn.ws/3mN5D3c #ABCNews #ParisClimateAgreement #GlobalWarming #Trump	Paris,climate,agreement,Donald,Trump,U.S.,Climate,change,Joe,Biden,Presidential,election,p_cmsid=2494279,p_vid=news-73960487	25	News & Politics	PT3M55S	235	2d	hd	false	https://i.ytimg.com/vi/0RaunX9LrC4/maxresdefault.jpg	1	7964	142	56	0	107
8	UCjrZMC7HpQt12bDJkunJIFg	WWF-Brasil	I-4F5MJEeqs	2016-07-04T15:18:46Z	2016-07-04 15:18:46	The Paris Agreement for Climate Change	The 21th Conference of Parties (COP 21) of the UN gathered 195 countries to negotiate and finalize the first global agreement to curb greenhouse gas emissions. Understand the importance of this agreement and how everyone can participate.		29	Nonprofits & Activism	PT2M8S	128	2d	hd	false	https://i.ytimg.com/vi/I-4F5MJEeqs/maxresdefault.jpg		96036	780	40	0	24
9	UCIRYBXDze5krPDzAEOxFGVA	Guardian News	5GpGnQTKMm8	2020-12-12T22:56:28Z	2020-12-12 22:56:28	UN Paris climate agreement: world leaders hold summit on fifth anniversary – watch live	The United Nations and Britain are expected to host an online climate summit on the fifth anniversary of the UN Paris climate agreement in a last-ditch bid to have countries meet a deadline to upgrade their emissions-cutting pledges Subscribe to Guardian News on YouTube ► http://bit.ly/guardianwiressub Support the Guardian ► https://support.theguardian.com/contribute Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus The Guardian YouTube network: The Guardian ► http://www.youtube.com/theguardian Guardian Football ► http://is.gd/guardianfootball Guardian Sport ► http://bit.ly/GDNsport Guardian Culture ► http://is.gd/guardianculture	united nations,climate,climate emergency,1.5,uk,boris johnson,coronavirus,covid,covid climate,paris,paris agreement,paris agreement anniversary,paris agreement live,united nations live,emissions cutting,polluters,polluting,climate change,climate catastrophe,climate news,world,covid news live,coronavirus news live,2020,guardian,boris johnson speech,boris johnson climate change,global warming	25	News & Politics	PT5H51M16S	3076	2d	hd	false	https://i.ytimg.com/vi/5GpGnQTKMm8/maxresdefault.jpg	1	15034	403	153	0	26
10	UC6ZFN9Tx6xh-skXCuRHCDpQ	PBS NewsHour	mVIF4FThR5o	2019-11-06T01:18:23Z	2019-11-06 01:18:23	What U.S. withdrawal from Paris climate deal means for a warming planet	President Trump announced Monday that in a year, the U.S. will formally withdraw from the Paris climate agreement. The global accord was signed in 2015 by nearly 200 nations pledging to cut greenhouse gas emissions to slow the planet’s warming. Brookings Institution’s Todd Stern, who was chief climate negotiator during the Obama administration, joins William Brangham to discuss the fallout. Stream your PBS favorites with the PBS app: https://to.pbs.org/2Jb8twG Find more from PBS NewsHour at https://www.pbs.org/newshour Subscribe to our YouTube channel: https://bit.ly/2HfsCD6 Follow us: Facebook: http://www.pbs.org/newshour Twitter: http://www.twitter.com/newshour Instagram: http://www.instagram.com/newshour Snapchat: @pbsnews Subscribe: PBS NewsHour podcasts: https://www.pbs.org/newshour/podcasts Newsletters: https://www.pbs.org/newshour/subscribe	todd stern,brookings instution,william brangham,greenhouse emissions,greenhouse gas,climate change,global warming,pollution,fossil fuels,paris climate agreement,president trump,trump,us	25	News & Politics	PT6M18S	378	2d	hd	true		1	18767	239	63	0	
