position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	tags	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UC8exuytmPBqeM6klg7zBNsQ	Mindscape	1DdfNU5iATU	2017-06-10T21:42:52Z	2017-06-10 21:42:52	Paris agreement simplified	Everything you need to know about Paris agreement is given here. which is easy to understand and gives at most clarity about this agreement. involvement of different countries . we have explained how actually the Paris agreement is going to work Supported by : Designed by Freepik" Designed by starline / Freepik Designed by Brgfx / Freepik" Designed by Graphiqastock / Freepik" Designed by Photoroyalty / Freepik" Designed by Ibrandify / Freepik" Designed by brgfx / Freepik" Designed by Frimufilms / Freepik Designed by Macrovector / Freepik" Music by AShamaluevMusic	paris agreement Detail understanding,paris agreement USA,United states paris agreement,China paris agreement,India paris agreement,paris agreement news,paris agreement simple,what is paris agreement?,paris agreement simplified,paris agreement quick,paris agreement and its effects,paris agreement latest update,co2 intensity,paris agreement,mindscape	25	News & Politics	PT8M32S	512	2d	hd	false	https://i.ytimg.com/vi/1DdfNU5iATU/maxresdefault.jpg	1	124618	1850	246	0	214
2	UC3XTzVzaHQEd30rQbuvCtTQ	LastWeekTonight	5scez5dqtAc	2017-06-05T06:30:00Z	2017-06-05 06:30:00	Paris Agreement: Last Week Tonight with John Oliver (HBO)	Donald Trump plans to withdraw the United States from the Paris agreement on climate change. That's bad news for anyone who happens to live on this planet. Connect with Last Week Tonight online... Subscribe to the Last Week Tonight YouTube channel for more almost news as it almost happens: www.youtube.com/user/LastWeekTonight Find Last Week Tonight on Facebook like your mom would: http://Facebook.com/LastWeekTonight Follow us on Twitter for news about jokes and jokes about news: http://Twitter.com/LastWeekTonight Visit our official site for all that other stuff at once: http://www.hbo.com/lastweektonight	last week tonight paris agreement,paris accord,john oliver paris agreement	24	Entertainment	PT20M58S	1258	2d	hd	false	https://i.ytimg.com/vi/5scez5dqtAc/maxresdefault.jpg	1	13068762	177317	12663	0	13779
3	UC5O114-PQNYkurlTg6hekZw	United Nations	5THr3bFj8Z4	2021-01-21T14:57:22Z	2021-01-21 14:57:22	What is the 'Paris Agreement', and how does it work?	This video explains the basics of the Paris Agreement: the international UN treaty of 2015 that aims to tackle climate change head on. It's central aim is to strengthen the global response to the threat of climate change by keeping a global temperature rise this century well below 2 degrees Celsius above pre-industrial levels, with ambition to limit the increase even further to 1.5 degrees Celsius. Additionally, the agreement aims to strengthen the ability of countries to deal with the impacts of climate change. Produced by: @UN Climate Change -------- The Paris Agreement is a legally binding international treaty on climate change. It was adopted by 196 Parties at COP 21 in Paris, on 12 December 2015 and entered into force on 4 November 2016. Its goal is to limit global warming to well below 2, preferably to 1.5 degrees Celsius, compared to pre-industrial levels. To achieve this long-term temperature goal, countries aim to reach global peaking of greenhouse gas emissions as soon as possible to achieve a climate neutral world by mid-century. The Paris Agreement is a landmark in the multilateral climate change process because, for the first time, a binding agreement brings all nations into a common cause to undertake ambitious efforts to combat climate change and adapt to its effects. Learn More: https://unfccc.int/process-and-meetings/the-paris-agreement/the-paris-agreement	UN,United Nations,global warming,paris agreement,paris climate agreement,the paris agreement,climate change	25	News & Politics	PT1M40S	100	2d	hd	true	https://i.ytimg.com/vi/5THr3bFj8Z4/maxresdefault.jpg	1	6359	222	51	0	97
4	UCjrZMC7HpQt12bDJkunJIFg	WWF-Brasil	I-4F5MJEeqs	2016-07-04T15:18:46Z	2016-07-04 15:18:46	The Paris Agreement for Climate Change	The 21th Conference of Parties (COP 21) of the UN gathered 195 countries to negotiate and finalize the first global agreement to curb greenhouse gas emissions. Understand the importance of this agreement and how everyone can participate.		29	Nonprofits & Activism	PT2M8S	128	2d	hd	false	https://i.ytimg.com/vi/I-4F5MJEeqs/maxresdefault.jpg		102144	828	50	0	32
5	UCrC8mOqJQpoB7NuIMKIS6rQ	Study IQ education	uWu04cYnyhA	2020-12-15T10:45:13Z	2020-12-15 10:45:13	Paris Climate Agreement 5th Anniversary - Brief highlights of CoP 20 to CoP 25 #UPSC #IAS	Paris Climate Agreement 5th Anniversary - Brief highlights of CoP 20 to CoP 25 #UPSC #IAS studyiq | study iq | study iq current affairs | December current affairs 2020 paris climate agreement | paris agreement | climate change | climate | paris climate accord | paris | paris climate Click here https://bit.ly/2wJs0SV to Download our Android APP to have access to 1000's of Smart Courses covering length and breadth of almost all competitive exams in India. UPSC/CSE - This is our Flagship & Most Selling Course. This course covered Length & Breadth of UPSC vast syllabus and made by Elite & Very best faculties from all over India with StudyIQ Trust. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. SSC & Bank - This is our oldest Course, made by Founders of StudyIQ. 1000+ videos so far and new videos added every week. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. UPSC Optionals - We have covered almost all major UPSC Optionals. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. State Exams PSCs - Currently we have 18 States covered, More to come, Choose your state. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. Defense Exams - CDS, NDA, CAPF, SSB, AFCAT, Airforce. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. SSC JE Exams - Civil, Mechanical, Electrical, Electronics. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. RBI Grade B - Grade B is the most popular Job after IAS. This course made by well-experienced faculties of Study IQ. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. NTA NET - Start your preparation for UGC(NTA) NET prestigious exam. We have courses for both Paper 1 & 2. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. UPSC Prelim Test Series 2020 - Our flagship test series for UPSC Prelims. More than 55-60% Success rate in 2018-19. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. DMRC Exams - Courses for Delhi Metro Technical & Non-Technical Exams. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. Insurance Exams - LIC, NICL, and other insurance exams. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. Law Exams - Find courses for Undergraduate and Judiciary Exams. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. Railway Jobs - More than 1.5 Lac jobs to come this year. Start your preparation with us for Tech or Non-Tech posts. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. Teaching Jobs - CTET, DSSSB. Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. NABARD Grade A - Download the app https://bit.ly/2wJs0SV to watch Demo Videos, Course Content, Authors, Etc. Have a doubt? Click here http://bit.ly/2qWhdOI to start instant Chat with our Sale team or you can call 95-8004-8004 Download POKET NEWS app - http://bit.ly/2J3IxV3 STUDYIQ on Instagram - http://bit.ly/2K0uXEH STUDYIQ [OFFICIAL] Telegram - https://t.me/Studyiqeducation UPSCIQ Magazine (For Serious UPSC Aspirants) - http://bit.ly/2DH1ZWq UPSC Mains Answer Writing Practice - http://bit.ly/2IB9LTo Bank IQ Magazine - http://bit.ly/2QxyNmJ Daily Current Affairs - http://bit.ly/2t68FG1 Download All Videos PDFs - https://goo.gl/X8UMwF Monthly Current Affairs - http://bit.ly/2GtcCuP Topic Wise Current Affairs - http://bit.ly/2VHxiZw Free PDFs - https://goo.gl/cJufZc Free Quiz - https://goo.gl/wCxZsy Free Video Courses - https://goo.gl/jtMKP9" Follow us on Facebook - https://goo.gl/iAhPDJ Telegram - https://t.me/Studyiqeducation The Hindu Editorial Analysis - https://goo.gl/vmvHjG Current Affairs by Dr Gaurav Garg - https://goo.gl/bqfkXe UPSC/IAS Burning Issues analysis- https://goo.gl/2NG7vP World History for UPSC - https://goo.gl/J7DLXv Indian History - https://goo.gl/kVwB79 UPSC/IAS past papers questions - https://goo.gl/F5gyWH SSC CGL + IBPS Quantitative tricks - https://goo.gl/C6d9n8 English Vocabulary - https://goo.gl/G9e04H Reasoning tricks for Bank PO + SSC CGL- https://goo.gl/a68WRN Error spotting / Sentence correction https://goo.gl/6RbdjC Static GK complete- https://goo.gl/kB0uAo Complete GK + Current Affairs for all exams- https://goo.gl/MKEoLy World History - UPSC / IAS - https://goo.gl/kwU9jC Learn English for SSC CGL, Bank PO https://goo.gl/MoL2it Science and Technology for UPSC/IAS - https://goo.gl/Jm4h8j Philosophy for UPSC/IAS - https://goo.gl/FH9p3n Yojana Magazine analysis -https://goo.gl/8oK1gy History for SSC CGL + Railways NTPC - https://goo.gl/7939eV #Watch_Smart_Courses #Download_Our_App	studyiq,study iq,study iq current affairs,december current affairs 2020,paris climate agreement,paris agreement,climate change,climate,paris climate accord,paris,paris climate,paris climate deal,agreement,paris accord,climate agreement,climate change agreement,the paris agreement,what is the paris agreement,2015 paris climate agreement,paris climate agreement trump,paris climate agreement and us,paris climate treaty,paris agreement climate change	27	Education	PT15M54S	954	2d	hd	false	https://i.ytimg.com/vi/uWu04cYnyhA/maxresdefault.jpg	1	16361	1045	19	0	4
6	UCZWlSUNDvCCS1hBiXV0zKcA	PragerU	47bNzLj5E_Q	2017-01-16T10:38:20Z	2017-01-16 10:38:20	The Paris Climate Agreement Won't Change the Climate	The Paris Climate Agreement will cost at least $1 trillion per year, and climate activists say it will save the planet. The truth? It won't do anything for the planet, but it will make everyone poorer--except politicians and environmentalists. Bjorn Lomborg explains. Donate today to PragerU! http://l.prageru.com/2ylo1Yt Joining PragerU is free! Sign up now to get all our videos as soon as they're released. http://prageru.com/signup Download Pragerpedia on your iPhone or Android! Thousands of sources and facts at your fingertips. iPhone: http://l.prageru.com/2dlsnbG Android: http://l.prageru.com/2dlsS5e Join Prager United to get new swag every quarter, exclusive early access to our videos, and an annual TownHall phone call with Dennis Prager! http://l.prageru.com/2c9n6ys Join PragerU's text list to have these videos, free merchandise giveaways and breaking announcements sent directly to your phone! https://optin.mobiniti.com/prageru Do you shop on Amazon? Click https://smile.amazon.com and a percentage of every Amazon purchase will be donated to PragerU. Same great products. Same low price. Shopping made meaningful. VISIT PragerU! https://www.prageru.com FOLLOW us! Facebook: https://www.facebook.com/prageru Twitter: https://twitter.com/prageru Instagram: https://instagram.com/prageru/ PragerU is on Snapchat! JOIN PragerFORCE! For Students: http://l.prageru.com/29SgPaX JOIN our Educators Network! http://l.prageru.com/2c8vsff Script: Much has been made of the Paris Climate Agreement signed by the leaders of 178 countries in 2016. French foreign minister Laurent Fabius, speaking for many, called it a "historic turning point." The head of the U.S. Environmental Protection Agency, Gina McCarthy, echoed the minister's remark when she testified before the House Committee on Science, Space and Technology. The Paris Agreement was, she said, an "incredible achievement." But when pressed by committee members to explain exactly how much this treaty would reduce global temperatures, she would not – or could not – say. This combination of grand pronouncements and vague specifics is a good strategy for Paris Agreement fans to take. Because the agreement will cost a fortune, but do little to reduce global warming. Consider the Obama administration's signature climate policy, the Clean Power Plan. Using the same climate prediction model that the UN uses, I found that the power plan will accomplish almost nothing. Even if its cuts to carbon dioxide emissions are fully implemented – not just for the 14 years that the Paris Agreement lasts, but for the rest of the century – the Clean Power Plan would reduce the temperature increase in 2100 by just 0.023 degrees Fahrenheit. The President has made further, and grander, promises of future U.S. carbon cuts, but these are only vaguely outlined. In the unlikely event that all of these extra cuts also happen, and are adhered to throughout the rest of the century, the combined reduction in temperatures would be 0.057 degrees. To put it another way, if the U.S. delivers for the whole century on the President's very ambitious rhetoric, it would postpone global warming by about eight months at the end of the century. Now let's add in the rest of the world's Paris promises. If we generously assume that the promised carbon cuts for 2030 are not only met (which itself would be a U.N. first), but sustained, throughout the rest of the century, temperatures in 2100 would drop by 0.3 degrees – the equivalent of postponing warming by less than four years. Again, that's using the UN's own climate prediction model. But here's the biggest problem: These miniscule benefits do not come free; quite the contrary. The cost of the Paris climate pact is likely to run to 1 to 2 trillion dollars every year, based on estimates produced by the Stanford Energy Modeling Forum and the Asia Modeling Exercise. In other words, we will spend at least one hundred trillion dollars in order to reduce the temperature, by the end of the century, by a grand total of three tenths of one degree. Some Paris Agreement supporters defend it by claiming that its real impact on temperatures will be much more significant than the U.N. model predicts. But this requires mental gymnastics and heroic assumptions. For the complete script, visit https://www.prageru.com/videos/paris-climate-agreement-wont-change-climate	Dennis Prager,PragerU,Prager University,Bjorn Lomborg,Paris Climate Treaty,Paris Climate Agreement,Climate Change,Global Warming,EPA,Copenhagen Consensus Center,CO2,Barack Obama,Green Energy,Fracking,Natural Gas,Coal,Oil	27	Education	PT5M38S	338	2d	hd	true	https://i.ytimg.com/vi/47bNzLj5E_Q/maxresdefault.jpg	1	3469006	20802	7839	0	4192
7	UCrp_UI8XtuYfpiqluWLD7Lw	CNBC Television	HzLEYJE33ww	2020-10-23T02:43:37Z	2020-10-23 02:43:37	President Donald Trump defends his decision to terminate the Paris agreement on climate change	President Donald Trump and former Vice President Joe Biden participate in the final presidential debate on Thursday at 9 p.m. ET in Nashville, Tenn., moderated by NBC News’ Kristen Welker. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi » Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision » Subscribe to CNBC: https://cnb.cx/SubscribeCNBC » Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide. The News with Shepard Smith is CNBC’s daily news podcast providing deep, non-partisan coverage and perspective on the day’s most important stories. Available to listen by 8:30pm ET / 5:30pm PT daily beginning September 30: https://www.cnbc.com/2020/09/29/the-news-with-shepard-smith-podcast.html?__source=youtube%7Cshepsmith%7Cpodcast Connect with CNBC News Online Get the latest news: http://www.cnbc.com/ Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC https://www.cnbc.com/select/best-credit-cards/ #CNBC #CNBCTV	Bottom Line,CNBC,business news,finance stock,stock market,news channel,news station,breaking news,us news,world news,cable,cable news,finance news,money,money tips	25	News & Politics	PT5M11S	311	2d	hd	false		1	18816	196	48	0	230
8	UCFH5dQAkGIqzcFYmM4tNtXw	NowThis Earth	XWP1qTeWIgM	2020-12-12T18:00:25Z	2020-12-12 18:00:25	How Far We've Come Since The Paris Agreement | NowThis Earth	Here's how far we've come since the Paris Agreement was signed 5 years ago. » Subscribe to NowThis Earth: https://go.nowth.is/Earth_Subscribe » Sign up for our newsletter KnowThis to get the biggest stories of the day delivered straight to your inbox: https://go.nowth.is/KnowThis The Paris Agreement is now 5 years old, and a lot has happened in that time. The agreement was initially signed by 194 countries, and it's been ratified by 188. The core of the agreement is to limit the amount of greenhouse gas emissions that lead to global warming and to prevent the global average temperature from rising 2°C above preindustrial levels — all before 2100. This could be the difference between life and death for people across the globe. So are we on track? We explain. #ParisAgreement #ClimateChange #GlobalWarming #Earth #Environment #Science #NowThis Connect with NowThis » Subscribe to NowThis News: http://go.nowth.is/News_Subscribe » Like us on Facebook: http://go.nowth.is/News_Facebook » Tweet us on Twitter: http://go.nowth.is/News_Twitter » Follow us on Instagram: http://go.nowth.is/News_Instagram » Find us on Snapchat Discover: http://go.nowth.is/News_Snapchat NowThis Earth is daily news coverage of climate, sustainability, biodiversity, species extinction, environmental justice, and other planetary concerns. NowThis is your premier news outlet providing you with all the videos you need to stay up to date on all the latest in trending news. From entertainment to politics, to viral videos and breaking news stories, we’re delivering all you need to know straight to your social feeds. We live where you live. http://www.youtube.com/nowthisearth @NowThisEarth	nowthis,future,science news,nowthis earth,now this earth,environment,earth,climate change,global warming,paris agreement,carbon emissions,climate crisis,paris climate agreement,carbon emissions explained,global climate change,paris accord,climate change 2020,carbon emissions and climate change,climate change crash course,climate crisis explained,global warming and greenhouse effect,environmental issues,environmental justice,science news this week,cop21	28	Science & Technology	PT4M29S	269	2d	hd	false	https://i.ytimg.com/vi/XWP1qTeWIgM/maxresdefault.jpg	1	7887	371	20	0	66
9	UCAuUUnT6oDeKwE6v1NGQxug	TED	MIA_1xQc7x8	2016-05-11T15:15:47Z	2016-05-11 15:15:47	The inside story of the Paris climate agreement | Christiana Figueres	What would you do if your job was to save the planet? When Christiana Figueres was tapped by the UN to lead the Paris climate conference (COP 21) in December 2015, she reacted the way many people would: she thought it would be impossible to bring the leaders of 195 countries into agreement on how to slow climate change. Find out how she turned her skepticism into optimism — and helped the world achieve the most important climate agreement in history. TEDTalks is a daily video podcast of the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and much more. Find closed captions and translated subtitles in many languages at http://www.ted.com/translate Follow TED news on Twitter: http://www.twitter.com/tednews Like TED on Facebook: https://www.facebook.com/TED Subscribe to our channel: http://www.youtube.com/user/TEDtalksDirector	TED Talk,TED Talks,Christiana Figueres,UNFCCC,COP 21,Paris Agreement,climate change	29	Nonprofits & Activism	PT14M51S	891	2d	hd	true	https://i.ytimg.com/vi/MIA_1xQc7x8/maxresdefault.jpg	1	210907	2840	661	0	555
10	UCWQ9ZFFhEqUZ0r1IspnBm6Q	TDC	3tnDjCA4peY	2015-12-14T20:36:32Z	2015-12-14 20:36:32	What Is The Paris Climate Change Agreement?	Explaining what the historic Paris Climate Change deal does and what it means for the world. Subscribe to TDC for more videos like this: shorturl.at/ajJNT More information on the Climate Deal: shorturl.at/ckzS7 Music featured in this video: "Ambitions" by Glimpse https://soundcloud.com/glimpse_offici... "Voyeur" by Jingle Punks, YT Audio Library "Particles Unfolding" by Glimpse https://soundcloud.com/glimpse_offici... Our Facebook page: http://www.facebook.com/thedailyconve... Twitter: http://www.twitter.com/thedailyconvo Google+ https://plus.google.com/1001349258045... Script: The Paris climate deal has a lot of people cheering, with world leaders like President Obama painting it as a historic moment…[show short clip from his speech], but what exactly does this agreement do and what does it mean for the world? The major achievement is that for the first time ever virtually all nations committed to reducing their carbon emissions “as soon as possible” and to do their best to keep global warming “to well below two degrees celsius.” If the world can keep temperature rise below two degrees we’ll have a good shot at avoiding the worst. And seeing as though the 1 degree celsius warming that has already occurred has caused us to begin suffering from noticeably more severe weather, this agreement is long overdue. The problem is that it’s not legally binding: it doesn’t create rigid timelines for countries to meet their pledges, pledges that vary wildly from country to country--especially for the BRIC nations that are still developing and are understandably wary of sacrificing their own economic growth for the greater planetary good. That’s why pledges initially made in this deal aren’t anywhere near enough to meet the 2 degree goal. But getting every country to commit to at least some kind of carbon reduction represents huge progress. Wealthier nations, basically the US and Europe, will also contribute significant amounts of money toward helping poorer countries develop clean power systems and reduce deforestation, which is the second largest contributor to climate change after the burning of fossil fuels. The agreement also establishes a transparent method for measuring and assessing how well each country is meeting its targets. And Nations have committed to coming back every five years with new targets that should get increasingly more ambitious as the pace of technological development continues to advance. So even though the Paris agreement didn’t do nearly enough to make sure the problem will be solved once and for all, the bottom line is that, by acting with one unified voice, the governments of the world finally sent a clear message: that the days of burning fossil fuels will quickly be coming to an end. This is what President Obama alluded to when he said: “this agreement sends a powerful signal that the world is firmly committed to a low-carbon future. And that has the potential to unleash investment and innovation in clean energy at a scale we have never seen before.” Companies like Shell, Exxon and BP, and countries like Russia, Saudi Arabia and its Persian Gulf neighbors are going to have to rapidly shift their revenue models toward clean energy, or risk being left behind. Although America was a leader in achieving this result, our work is just beginning. We’ve got to continue to defeat the fossil fuel industry’s attempts to undercut efforts to fight climate change here at home. And the most obvious battle will take place on November 8, 2016, when we can elect a congress and a President who will take the torch from President Obama and continue the clean energy transformation of the world’s largest economy. So that’s what the Paris Climate Agreement is all about--it’s up to us to decide whether it will indeed represent a moment of incredible progress for mankind. Thanks for watching. Subscribe to this channel to get more videos like this. For TDC, I’m Bryce Plank.	Paris,Climate Change,news,explained,Energy,Global,Warming,Power,Solar,Solar Energy (Industry),Free,Green,Wind,Electric,Wind Power (Industry),Obama,President Obama,politics,international relations,foreign policy,Barack Obama (US President),hillary clinton,bernie sanders,Clinton,documentary,best,TDC,Election,europe,germany,canada,UK,United States,Russia,China,America,India,environment,clean energy,future,john kerry,congress,speech,France,donald trump,electricity	25	News & Politics	PT3M5S	185	2d	hd	true	https://i.ytimg.com/vi/3tnDjCA4peY/maxresdefault.jpg	1	133013	1183	220	0	272
