authorChannelId,author_name,number_of_videos,number_of_comments,category
UCov_MpgR7_57q7rmQPaCWPA,Sam Lair,89,152,
UCY7F_1S11P0JkIoaTCxSHcg,Aaron Oneal,73,80,
UCTjA6jHHcAVRQY2dJSHscaQ,Kloko Loko,60,704,
UCBKt3KZO4gq1qkf-tXFEcPA,Allysandra Ilagan,55,57,
UC0TPdvG3xiLwzMJbdJzNw5g,robert hicks,51,872,
UCW2qniYdhBhxq3llQIOEvOQ,Jason Melton,49,52,
UCLzHjaUH2lpygLyxdwUCbOA,jmuld1,47,223,
UCherSgfuX4ODBO5-pMrThYg,Władca Wymiaru,46,152,
UCRkQNJYyK073PsjVao-SWCA,Gary Ha,45,175,
UCEJy93A2zYsZMlTlvD1eCtg,old man vollox,44,58,
UCWTsXCpWs43jFLsiQv1N5EQ,GEORGELET4,42,174,
UCh40_8TY9WBA3WsYeSHMwtA,Dundoril,41,2277,
UCGyI5Vb4RPWfeWdBtlPgRbw,Bertie Blue,39,139,
UC-NmIvin1ZbX4TfZLS9ZHMg,Rick TD,39,1706,
UCEuZD-r3xQ4eMlnq-9TnaRw,Væringjar,39,573,
UClR1pd_a6bOPsiyVR3nlrzw,Franz Maier,37,317,
UCVB-Wy4G_qzUyg2iIleT3fg,JBW,36,142,
UCNrXngTy7SQf0tDWQ88qefQ,SuperThunderGoodGuy,34,500,
UCwZ8WNe19rFUUMGwuQiy6SQ,P Melby,34,108,
UCsEQ_YTy_xoG-iWXy7hLimg,Hosni Mubarak,33,329,
UCGcEOvg7z8aL9LvTH4QFnWA,grindupBaker,33,404,
UCpdO5cHsgJhhLYLsZZ54e_Q,The Ultimate Reductionist,32,198,
UCeRciEx2RwN2WHidkhSRerg,John Quest,32,46,
UCuhhX9p8cfLJTP5m5lm6z6Q,"Rod Martin, Jr.",30,215,
UCvSKssyAcpW72YG-0bXTcEQ,Christopher Calder,30,57,
UCwuG-juyCuPFjHdmwjBkvGA,Lawrence Smith,29,46,
UCrKRC9-naXWUIACKlnUTNWA,hermanwahsletn,29,48,
UC2evxxtCrzLzrSLFXRb0tbQ,Nuno Foo,29,102,
UCuubbTUT1tYENB9eRLGnOng,pafnucek,28,76,
UC6YM_zNbkXJ_ZBhC3MyjmPw,Nick Schroeder,27,49,
UC6hkrY1YaXh7OGvkcDejpdA,Aanthanur DC,27,702,
UC4fIIy0-kIIYTww-CCpPfvg,DeadlyMargiKarp223,27,224,
UCdOSQIZRp3XD-0Xq6UzizXQ,Cypress1337,27,64,
UCmgvVcwneE9nfEf8vYfSPpg,Oldinea Miller,27,348,
UCvzWdfNMZjMrxp1j4W3v3yg,Gaming Tonight,26,39,
UCF6shV7CZCfTkfjMEfY-opA,spillarge,26,261,
UCsYupKQPnWV7J3FUsGGwyEA,Lorenzo Blum,25,420,
UCJhyupVhLTebsl4KITkmPdg,CHIPMUNK RAPIDS MADMAN,25,98,
UCPhElDls_CdDcKtnsKMgqoA,Brian,25,240,
UC7MdyMTn39j84xBDJMswGdg,Brian Diehl,25,328,
UCjeXYkU0Mc3KmiPtmoy5Bew,Martin A,24,183,
UCawqY4mmpvpl8K48Cha1SoA,K D,24,54,
UCiNa7yDepQw78yq27hNkdPw,Jeff Harmed,24,58,
UCCDeXATZbrIA2KvO5jGRG0g,MAMA J,24,26,
UCQebh29JiW1dpiTD1EsZZjA,Meme Mine,23,28,
UCgYLRYIJb9KnxdayIRaIfmg,Jim R,23,43,
UCUSq-TyoXHgOAt7swGYSPyw,Europa Europa,23,54,
UCtaY5W_byevS-O5fzn5vu4Q,John Tech,23,89,
UCDCT5mHvjztDaJe-G3mbnyw,Robrecht saski,23,47,
UC5iTVs-0MTyy72Hw6s_TnFw,Giorgio Cooper,23,36,
UCn-oHNhe9YWtf9uOf1QtRWA,Mr Marvelous & the Unicorn.,23,26,
UCxu6KQ00ZQRtkX5qpKpV8HA,LINER011 F,23,42,
UC1yZIJc7dMSHAbQuoVofyTQ,wade5941,23,58,
UCPeYFNsWAt25nCX-o5oa4ug,Vance H,22,22,
UC2bCxJ_Q3skQqjDUrnTEi3Q,Michael Law,22,53,
UCTnt1ZxGFjOqQbYo4X7mRxg,Gary Sarela,22,56,
UC2o9ELaB2S90JUf6CpKe_Rw,Eric,22,70,
UCjXQRYWGPu6jIIZF5p-QvKA,Zoe Phin,21,198,
UCT9cacMEm1FUY8AIn07RCGA,Vinny Sudheer Mako,21,21,
UCHcJVv-bixZHuEKh9QL0bFg,David R. Stone,21,47,
UCy5KGaXChNfDeprhe8cimIQ,Zwiebelface,21,411,
UCpadRwVfACgE7PY2LLw6IVA,John Peric,21,418,
UCJXkt8KjcYhj2O5fchOL7Ig,AvangionQ,21,32,
UCui5LyyXthFgRIxm8s4gMYA,john satterlee,21,34,
UChtVoO91ZvMOgyRIvU8QQRA,KelliAnn Winkler,20,64,
UCwO-y6fZB0v0JGT0TU2_Wcw,Time to Believe,20,39,
UCcMGz4R5HMK5aR5UC3Bi_9A,Philip Turner,20,31,
UCMBRo_pT8k6JXI0kWPgGEdg,Robert Callaghan,20,43,
UCcg8R1ALfDP7sGkeIEBjkMQ,James McGinn,20,149,
UCr1Byyao5_vJI9c9nBU6S_w,xchopp,19,45,
UCDLoT22ML3_eA4p67GF_S-g,Adrian Fewster,19,53,
UCencXnr6cxM2vFerug8fv8w,jeffrey luciana,19,42,
UCczk7l3l64RNKEqHyHmmpJA,reference2me,19,90,
UC8cx8hkv4zi3g4D6X4nxpIw,Steven David Stoffers,19,26,
UCCy6hbnTKWQPEBcYqYQEuRQ,Powder_ Days,19,63,
UCd2S11GWVCNb6dRRo5bz_WA,Jernej Blatnik,19,97,
UClKRA5YAbIk3seYHNe_iCtQ,ab9957,18,23,
UCwejyaTZWr5Xn84TlbKXtOg,Scott Koontz,18,130,
UCMrJloH5CEWRYaPfsQQvdng,Stwinge44,18,140,
UCtyV7Beit_SWdT2KNr1vfyA,George Davidson,18,46,
UCWzIWkwrtc2_omyUyXChQDA,Panagiotis Papa,18,42,
