authorChannelId,author_name,number_of_videos,number_of_comments,Category 1,Category 2, Category 3,Unnamed: 7,replies_count,comments_replies_ratio
UCov_MpgR7_57q7rmQPaCWPA,Sam Lair,89,152,0.0,4.0,,,17.0,11.184210526315791
UCY7F_1S11P0JkIoaTCxSHcg,Aaron Oneal,73,80,0.0,3.0,,,4.0,5.0
UCTjA6jHHcAVRQY2dJSHscaQ,Kloko Loko,60,704,0.0,,,,690.0,98.01136363636364
UCBKt3KZO4gq1qkf-tXFEcPA,Allysandra Ilagan,55,57,0.0,3.0,,,2.0,3.508771929824561
UC0TPdvG3xiLwzMJbdJzNw5g,robert hicks,51,872,1.0,2.0,, ,823.0,94.38073394495413
UCW2qniYdhBhxq3llQIOEvOQ,Jason Melton,49,52,1.0,,,,3.0,5.769230769230769
UCLzHjaUH2lpygLyxdwUCbOA,jmuld1,47,223,1.0,5.0,,,174.0,78.02690582959642
UCherSgfuX4ODBO5-pMrThYg,Władca Wymiaru,46,152,1.0,4.0,,,126.0,82.89473684210527
UCRkQNJYyK073PsjVao-SWCA,Gary Ha,45,175,1.0,,,,115.0,65.71428571428571
UCEJy93A2zYsZMlTlvD1eCtg,old man vollox,44,58,1.0,5.0,,,0.0,0.0
UCWTsXCpWs43jFLsiQv1N5EQ,GEORGELET4,42,174,1.0,,,,136.0,78.16091954022988
UCh40_8TY9WBA3WsYeSHMwtA,Dundoril,41,2277,0.0,,,,2276.0,99.95608256477821
UCGyI5Vb4RPWfeWdBtlPgRbw,Bertie Blue,39,139,1.0,,,,80.0,57.55395683453237
UC-NmIvin1ZbX4TfZLS9ZHMg,Rick TD,39,1706,1.0,,,,1595.0,93.49355216881594
UCEuZD-r3xQ4eMlnq-9TnaRw,Væringjar,39,573,0.0,,,,572.0,99.82547993019197
UClR1pd_a6bOPsiyVR3nlrzw,Franz Maier,37,317,0.0,,,,317.0,100.0
UCVB-Wy4G_qzUyg2iIleT3fg,JBW,36,142,0.0,,,,98.0,69.01408450704224
UCNrXngTy7SQf0tDWQ88qefQ,SuperThunderGoodGuy,34,500,0.0,,,,471.0,94.2
UCwZ8WNe19rFUUMGwuQiy6SQ,P Melby,34,108,0.0,,,,57.0,52.77777777777778
UCsEQ_YTy_xoG-iWXy7hLimg,Hosni Mubarak,33,329,0.0,,,,329.0,100.0
UCGcEOvg7z8aL9LvTH4QFnWA,grindupBaker,33,404,0.0,,,,278.0,68.81188118811882
UCpdO5cHsgJhhLYLsZZ54e_Q,The Ultimate Reductionist,32,198,0.0,,,,145.0,73.23232323232324
UCeRciEx2RwN2WHidkhSRerg,John Quest,32,46,1.0,,,,5.0,10.869565217391305
UCuhhX9p8cfLJTP5m5lm6z6Q,"Rod Martin, Jr.",30,215,1.0,,,,188.0,87.44186046511628
UCvSKssyAcpW72YG-0bXTcEQ,Christopher Calder,30,57,1.0,2.0,,,25.0,43.859649122807014
UCwuG-juyCuPFjHdmwjBkvGA,Lawrence Smith,29,46,1.0,2.0,,,29.0,63.04347826086956
UCrKRC9-naXWUIACKlnUTNWA,hermanwahsletn,29,48,1.0,,,,18.0,37.5
UC2evxxtCrzLzrSLFXRb0tbQ,Nuno Foo,29,102,0.0,,,,102.0,100.0
UCuubbTUT1tYENB9eRLGnOng,pafnucek,28,76,0.0,,,,64.0,84.21052631578948
UC6YM_zNbkXJ_ZBhC3MyjmPw,Nick Schroeder,27,49,1.0,,,,16.0,32.6530612244898
UC6hkrY1YaXh7OGvkcDejpdA,Aanthanur DC,27,702,0.0,4.0,,,580.0,82.62108262108262
UC4fIIy0-kIIYTww-CCpPfvg,DeadlyMargiKarp223,27,224,0.0,,,,217.0,96.875
UCdOSQIZRp3XD-0Xq6UzizXQ,Cypress1337,27,64,0.0,,,,40.0,62.5
UCmgvVcwneE9nfEf8vYfSPpg,Oldinea Miller,27,348,1.0,,,,335.0,96.26436781609195
UCvzWdfNMZjMrxp1j4W3v3yg,Gaming Tonight,26,39,0.0,,,,13.0,33.333333333333336
UCF6shV7CZCfTkfjMEfY-opA,spillarge,26,261,1.0,,,,234.0,89.65517241379311
UCsYupKQPnWV7J3FUsGGwyEA,Lorenzo Blum,25,420,0.0,,,,404.0,96.19047619047619
UCJhyupVhLTebsl4KITkmPdg,CHIPMUNK RAPIDS MADMAN,25,98,1.0,,,,69.0,70.40816326530613
UCPhElDls_CdDcKtnsKMgqoA,Brian,25,240,0.0,,,,230.0,95.83333333333334
UC7MdyMTn39j84xBDJMswGdg,Brian Diehl,25,328,0.0,,,,328.0,100.0
UCjeXYkU0Mc3KmiPtmoy5Bew,Martin A,24,183,1.0,,,,146.0,79.78142076502733
UCawqY4mmpvpl8K48Cha1SoA,K D,24,54,1.0,2.0,,,30.0,55.55555555555556
UCiNa7yDepQw78yq27hNkdPw,Jeff Harmed,24,58,0.0,4.0,,,28.0,48.275862068965516
UCCDeXATZbrIA2KvO5jGRG0g,MAMA J,24,26,1.0,5.0,,,0.0,0.0
UCQebh29JiW1dpiTD1EsZZjA,Meme Mine,23,28,1.0,,,,1.0,3.5714285714285716
UCgYLRYIJb9KnxdayIRaIfmg,Jim R,23,43,1.0,,,,9.0,20.930232558139537
UCUSq-TyoXHgOAt7swGYSPyw,Europa Europa,23,54,1.0,,,,16.0,29.62962962962963
UCtaY5W_byevS-O5fzn5vu4Q,John Tech,23,89,1.0,2.0,,,35.0,39.325842696629216
UCDCT5mHvjztDaJe-G3mbnyw,Robrecht saski,23,47,1.0,2.0,4.0,,0.0,0.0
UC5iTVs-0MTyy72Hw6s_TnFw,Giorgio Cooper,23,36,1.0,,,,1.0,2.7777777777777777
UCn-oHNhe9YWtf9uOf1QtRWA,Mr Marvelous & the Unicorn.,23,26,1.0,5.0,,,2.0,7.6923076923076925
UCxu6KQ00ZQRtkX5qpKpV8HA,LINER011 F,23,42,1.0,,,,32.0,76.19047619047619
UC1yZIJc7dMSHAbQuoVofyTQ,wade5941,23,58,1.0,,,,30.0,51.72413793103448
UCPeYFNsWAt25nCX-o5oa4ug,Vance H,22,22,5.0,,,,0.0,0.0
UC2bCxJ_Q3skQqjDUrnTEi3Q,Michael Law,22,53,1.0,4.0,,,23.0,43.39622641509434
UCTnt1ZxGFjOqQbYo4X7mRxg,Gary Sarela,22,56,0.0,,,,50.0,89.28571428571429
UC2o9ELaB2S90JUf6CpKe_Rw,Eric,22,70,0.0,,,,47.0,67.14285714285714
UCjXQRYWGPu6jIIZF5p-QvKA,Zoe Phin,21,198,1.0,,,,195.0,98.48484848484848
UCT9cacMEm1FUY8AIn07RCGA,Vinny Sudheer Mako,21,21,5.0,,,,0.0,0.0
UCHcJVv-bixZHuEKh9QL0bFg,David R. Stone,21,47,1.0,2.0,,,17.0,36.170212765957444
UCy5KGaXChNfDeprhe8cimIQ,Zwiebelface,21,411,1.0,,,,409.0,99.51338199513383
UCpadRwVfACgE7PY2LLw6IVA,John Peric,21,418,1.0,,,,407.0,97.36842105263158
UCJXkt8KjcYhj2O5fchOL7Ig,AvangionQ,21,32,0.0,,,,12.0,37.5
UCui5LyyXthFgRIxm8s4gMYA,john satterlee,21,34,1.0,4.0,2.0,,8.0,23.529411764705884
UChtVoO91ZvMOgyRIvU8QQRA,KelliAnn Winkler,20,64,1.0,,,,42.0,65.625
UCwO-y6fZB0v0JGT0TU2_Wcw,Time to Believe,20,39,1.0,,,,22.0,56.410256410256416
UCD1f98flC-iGfL5b1Jy3JTQ,Warren Peece,15,16,1.0,2.0,,,1.0,6.25
UC95vjQ1yeJ4X8rWfoYTc8tg,Theeraphat Sunthornwit,15,42,1.0,,,,27.0,64.28571428571429
UCLWIa6c0krklRTq4VYQxxEQ,Christopher allen sutton,15,49,0.0,2.0,,,32.0,65.3061224489796
