	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	tags	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount	search_Term	Comments_Downloaded	Comments_Downloaded_Stopped_At
94	94	94	94	94	359	115	UCknLrEdhRCp1aegoMqRaCZg	DW News	hjhj7lEVFZU	2020-08-07T09:29:13Z	2020-08-07 09:29:13	Melting arctic ice fuels climate change and extreme weather events | DW News	Global climate change is perhaps most clearly visible at the cold top and bottom of the globe. The arctic has been warming up for years - and now, the warnings of experts and scientists are clear for everyone to see - the poles are melting. As the differences in temperature between the poles and the equatore reduce, the jetstream winds, which move weather around the globe - are slowing down. The result - extreme weather. High- and low pressure systems remain at the same spot for longer, creating floods and droughts. Subscribe: https://www.youtube.com/user/deutschewelleenglish?sub_confirmation=1 For more news go to: http://www.dw.com/en/ Follow DW on social media: ►Facebook: https://www.facebook.com/deutschewellenews/ ►Twitter: https://twitter.com/dwnews ►Instagram: https://www.instagram.com/dw_stories/ Für Videos in deutscher Sprache besuchen Sie: https://www.youtube.com/channel/deutschewelle #ClimateChange #Arctic #GlobalWarming	climate change,global warming,arctic ice,carbon emissions,extreme weather,jet stream,north pole,sea temperature,water levels,polar ice caps,carbon dioxide,climate change news,polar ice,climate news,arctic sea ice,gulf stream,sea ice,oil spill,arctic ocean,climate change 2020,melting ice	25	News & Politics	PT6M23S	383	2d	hd	False	https://i.ytimg.com/vi/hjhj7lEVFZU/maxresdefault.jpg	1.0	94077	1780.0	216.0	0	1045.0	climate crisis	False	0
95	95	95	95	95	358	92	UCIALMKvObZNtJ6AmdCLP7Lg	Bloomberg Markets and Finance	38Mw-t5zmyM	2020-01-21T16:00:01Z	2020-01-21 16:00:01	Greta Thunberg in Davos: Says Global Leaders Have Failed When it Comes to Climate Change	"Climate and Environmental Activist Greta Thunberg delivers opening remarks at a session titled ""Averting a Climate Apocalypse"" at the World Economic Forum's annual meeting in Davos, Switzerland."	finance,news,Bloomberg	25	News & Politics	PT1M41S	101	2d	hd	False	https://i.ytimg.com/vi/38Mw-t5zmyM/maxresdefault.jpg	1.0	39113	587.0	1719.0	0	1035.0	climate change greta	False	0
96	96	96	96	96	357	302	UCrp_UI8XtuYfpiqluWLD7Lw	CNBC Television	jSpjCjjyPCw	2020-09-14T19:48:53Z	2020-09-14 19:48:53	Trump challenged on climate change during wildfire briefing: 'I wish science agreed with you'	"A California environmental official challenged President Donald Trump to follow the science on the reality of climate change after Trump suggested that record-breaking temperatures in the state would go away on their own. ""Well, I don't think science knows actually,"" Trump added. For access to live and exclusive video from CNBC subscribe to CNBC PRO: https://cnb.cx/2NGeIvi A California environmental official challenged President Donald Trump to believe and follow the science on climate change after Trump suggested that record-breaking temperatures in the state would cool down on their own. “It’ll start getting cooler. You just watch,” Trump said after Wade Crowfoot, California’s secretary for natural resources, urged him and others not to “put our head in the sand” and simply ignore the warming climate. Trump’s remark during a roundtable in McLellan Park, California, on the wildfires that have engulfed huge swaths of the state, generated laughs from some of the participants. But Crowfoot responded: “I wish science agreed with you.” Trump, with a smirk, shot back: “OK, well, I don’t think science knows, actually.” The White House declined CNBC’s request for further comment on the president’s remarks. Crowfoot tweeted later Monday: “It actually won’t get cooler Mr. President. #ClimateChangeIsReal.” Democratic presidential nominee Joe Biden, speaking in Wilmington, Delaware, on Monday, struck a very different tone on the issue. “With every bout with nature’s fury, caused by our own inaction on climate change, more Americans see and feel the devastation in big cities, small towns, on coastlines and farmlands,” Biden said, according to his prepared remarks. “It is happening everywhere. It is happening now. It affects us all,” Biden said. The president has largely blamed the wildfires, which continue to blaze in parts of California, on poor forest management practices. He said at the roundtable, which also included Democratic California Gov. Gavin Newsom, that he had been told by the leader of a “major country” in Europe, ”‘We have trees that are far more explosive’ – explosive in terms of fire – ‘... than they have in California, and we don’t have any problem.’” Trump in the past has repeatedly called climate change a “hoax.” But Crowfoot stressed in his remarks Monday that boiling temperatures in parts of California are part of a larger trend. “We’ve had temperatures explode this summer. You may have learned that we broke a world record in the Death Valley – 130 degrees [Fahrenheit]. But even in greater L.A., 120-plus degrees. And we’re seeing this warming trend make our summers warmer, but also our winters warmer, as well,” Crowfoot said. “I think one area of mutual agreement and priority is vegetation management, but I think we want to work with you to really recognize the changing climate and what it means to our forest, and actually work together with that science, that science is going to be key.” “If we ignore that science and sort of put our head in the sand and think it’s all about vegetation management, we’re not going to succeed together protecting Californians,” Crowfoot said. » Subscribe to CNBC TV: https://cnb.cx/SubscribeCNBCtelevision » Subscribe to CNBC: https://cnb.cx/SubscribeCNBC » Subscribe to CNBC Classic: https://cnb.cx/SubscribeCNBCclassic Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in business news worldwide. Connect with CNBC News Online Get the latest news: http://www.cnbc.com/ Follow CNBC on LinkedIn: https://cnb.cx/LinkedInCNBC Follow CNBC News on Facebook: https://cnb.cx/LikeCNBC Follow CNBC News on Twitter: https://cnb.cx/FollowCNBC Follow CNBC News on Instagram: https://cnb.cx/InstagramCNBC For info on the best credit cards go to CNBC Select: https://www.cnbc.com/select/best-credit-cards/ #CNBC #CNBCTV"	Bottom Line,CNBC,business news,finance stock,stock market,news channel,news station,breaking news,us news,world news,cable,cable news,finance news,money,money tips	25	News & Politics	PT1M11S	71	2d	hd	False	https://i.ytimg.com/vi/jSpjCjjyPCw/maxresdefault.jpg	1.0	103839	732.0	119.0	0	1021.0	climate crisis	False	0
97	97	97	97	97	356	303	UCeY0bbntWzzVIaj2z3QigXg	NBC News	lr-tBaFGRyg	2020-09-11T23:56:52Z	2020-09-11 23:56:52	CA Gov. Newsom On Wildfire Devastation: Impact Of Climate Change Cannot Be Denied | NBC Nightly News	As firefighters battle dozens of deadly wildfires across California, Governor Gavin Newsom warns that climate change is a fundamental part of the crisis. Fires along the West Coast have destroyed towns and forced tens of thousands of evacuations. » Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC » Watch more NBC video: http://bit.ly/MoreNBCNews NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties. We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows. Connect with NBC News Online! NBC News App: https://smart.link/5d0cd9df61b80 Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621 Visit NBCNews.Com: http://nbcnews.to/ReadNBC Find NBC News on Facebook: http://nbcnews.to/LikeNBC Follow NBC News on Twitter: http://nbcnews.to/FollowNBC Follow NBC News on Instagram: http://nbcnews.to/InstaNBC CA Gov. Newsom On Wildfire Devastation: Impact Of Climate Change Cannot Be Denied | NBC Nightly News	Nightly News,U.S. News,California Wildfires,West Coast Wildfires,nbc news,news,breaking news,us news,world news,politics,current events,top stories,pop culture,business,health,nbc nightly news,lester holt,nbc news full,nightly news full,Wildfire Devastation,Impact Of Climate Change,climate change,gavin newsom,gavin newsom today,california wildfire,california governor,wildfires in california,wildfires california,forest fire,Fires in california	25	News & Politics	PT3M43S	223	2d	hd	True	https://i.ytimg.com/vi/lr-tBaFGRyg/maxresdefault.jpg	1.0	130774	583.0	848.0	0	995.0	climate crisis	False	0
98	98	98	98	98	355	265	UC16niRr50-MSBwiO3YDb3RA	BBC News	TTNKg1jygpQ	2020-10-15T10:36:16Z	2020-10-15 10:36:16	Kamala Harris asks Amy Coney Barrett: 'Do you believe climate change is happening?' - BBC News	"US Supreme Court nominee Amy Coney Barrett has been asked by Democratic vice-president candidate Senator Kamala Harris whether she believes climate change is happening. Judge Barrett declined to express a view on what she called a ""very contentious matter of public debate"". The questioning came on day three of Judge Barrett's Senate confirmation hearing. Please subscribe HERE http://bit.ly/1rbfUog"	bbc,bbc news,news	25	News & Politics	PT1M37S	97	2d	hd	False	https://i.ytimg.com/vi/TTNKg1jygpQ/maxresdefault.jpg	1.0	75807	764.0	252.0	0	969.0	climate crisis	False	0
99	99	99	99	99	354	458	UC_gUM8rL-Lrg6O3adPW9K1g	WION	taQSopdaVQA	2021-01-31T14:30:12Z	2021-01-31 14:30:12	Gravitas Plus: Climate Change is affecting you personally. Here's how	Do you know Climate change is making you late for work? It is also making you unhealthy and your coffee expensive. WION's Palki tells you how Climate Change is affecting us personally in ways we don't realise. #GravitasPlus #ClimateChange #WION About Channel: WION -The World is One News, examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on the hour, by the hour. We deliver information that is not biased. We are journalists who are neutral to the core and non-partisan when it comes to the politics of the world. People are tired of biased reportage and we stand for a globalised united world. So for us the World is truly One. Please keep discussions on this channel clean and respectful and refrain from using racist or sexist slurs as well as personal insults. Subscribe to our channel at https://goo.gl/JfY3NI Check out our website: http://www.wionews.com Connect with us on our social media handles: Facebook: https://www.facebook.com/WIONews Twitter: https://twitter.com/WIONews Follow us on Google News for latest updates Zee News:- https://bit.ly/2Ac5G60 Zee Bussiness:- https://bit.ly/36vI2xa DNA India:- https://bit.ly/2ZDuLRY WION: https://bit.ly/3gnDb5J Zee News Apps : https://bit.ly/ZeeNewsApps	climate change,climate change effect,climate change is real,what is climate change,world temperature,global warming,global warming news,what is global warming,tropical storms,tropical rains,rains,heavy rains,what causes climate change,climate change reasons,gravitas plus,wion,wion news	25	News & Politics	PT8M40S	520	2d	hd	False	https://i.ytimg.com/vi/taQSopdaVQA/maxresdefault.jpg	1.0	103609	6082.0	136.0	0	958.0	climate crisis	False	0
100	100	100	100	100	353	405	UCT2OYGLtOyyui_9MGrnfyzA	Letstute	d7Ci_EooW-k	2018-02-16T10:56:24Z	2018-02-16 10:56:24	Greenhouse Effect and Global Warming | Environmental Science | LetsTute	"Hello Friends! Check out our video on ""Greenhouse Effect and Global Warming” by Letstute. This Video covers : - What is Global Warming? - What is Green House Effect? - Consequences of Global Warming. - How We Can Prevent or Stop Global Warming. -Effects of Global Warming -Effects of Greenhouse effect I hope you enjoy this online lecture on ""Greenhouse Effect and Global Warming | Environmental Science | EVS"" by LetsTute. #Globalwarming #Greenhouseeffect #Greenhousegases #EnvironmentStudies Visit our website for more information: https://bit.ly/2RoQBmL Checkout our online courses on Science Class 6th to 10th :-http://bit.ly/science-online-course Enjoy 20% Discount on all our courses Use the code: STUDY20 Enroll Now & Get 3 Days Trial period on all courses BUY our entire Course Dvds OR Pendrive for Science and EVS which includes video lectures, Assessments and Quiz Science : http://amzn.to/2EDjjvo EVS -Natural Resource : http://amzn.to/2AIYQPP Fun with Science : http://amzn.to/2mfT8Av To Get Regular Content Updates- Facebook : https://www.facebook.com/letstutepage Twitter : https://twitter.com/letstute Google+: https://plus.google.com/+Letstute For Queries: Email: info@letstute.co.in Call / WhatsApp: +91 7506363600 Visit our other channels: LetsTute Accountancy: http://bit.ly/1VvIMWD LetsTute CBSE Math: http://bit.ly/2h1B2lP Values to Lead (Value Education): http://bit.ly/1poLX8j"	greenhouse effect and global warming,environmental science,Global warming,greenhouse effect,greenhouse,what is greenhouse effect,the Greenhouse effect,prevent global warming,global warming and climate change,global warming and its effects,greenhouse gases and global warming,global warming for kids,letstute,effects of global warming,causes of global warming,environmental studies,climate change,greenhouse gases,global warming,global warming effect,science,evs	27	Education	PT6M26S	386	2d	hd	False	https://i.ytimg.com/vi/d7Ci_EooW-k/maxresdefault.jpg	1.0	764731	12609.0	662.0	0	953.0	climate crisis	False	0
101	101	101	101	101	352	272	UCuFFtHWoLl5fauMMD5Ww2jA	CBC News	4oHhlM5udHM	2018-09-20T23:30:00Z	2018-09-20 23:30:00	Why BBC stopped interviewing climate change deniers | The Investigators with Diana Swain	The BBC has told its journalists they don’t need to interview climate change deniers to balance their stories. What led the broadcaster to makes this move? Diana Swain talks the Leo Hickman, editor of the website Carbon Brief, who first reported on the BBC’s policy. Watch The Investigators Thursdays at 7:00 pm on CBC Television; Saturdays at 9:30 pm ET and Sundays at 5:30 pm ET on CBC News Network. »»» Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS Connect with CBC News Online: For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX Find CBC News on Facebook: http://bit.ly/1WjG36m Follow CBC News on Twitter: http://bit.ly/1sA5P9H For breaking news on Twitter: http://bit.ly/1WjDyks Follow CBC News on Instagram: http://bit.ly/1Z0iE7O Download the CBC News app for iOS: http://apple.co/25mpsUz Download the CBC News app for Android: http://bit.ly/1XxuozZ »»»»»»»»»»»»»»»»»» For more than 75 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.	BBC,climate change,florence,mangkhut,climate change deniers,Leo Hickman,journalism,Carbon Brief,Lord Lawson,bbc news,Hurricane Florence,Typhoon Mangkhut,CBC News,super typhoon mangkhut,typhoon china 2018,news,Diana Swain,CBC Investigates	25	News & Politics	PT3M30S	210	2d	hd	False	https://i.ytimg.com/vi/4oHhlM5udHM/maxresdefault.jpg	1.0	71015	410.0	487.0	0	942.0	climate crisis	False	0
102	102	102	102	102	351	85	UCwWhs_6x42TyRM4Wstoq8HA	The Daily Show with Trevor Noah	M9ujPVxtZOI	2019-03-24T21:00:00Z	2019-03-24 21:00:00	Students vs. Climate Change & Oil Companies vs. Oceans | The Daily Show	Ronny Chieng cheers on the students who took part in climate change protests around the world and takes oil companies to task for disregarding their impact on marine life. Subscribe to The Daily Show: https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/?sub_confirmation=1 Follow The Daily Show: Twitter: https://twitter.com/TheDailyShow Facebook: https://www.facebook.com/thedailyshow Instagram: https://www.instagram.com/thedailyshow Watch full episodes of The Daily Show for free: http://www.cc.com/shows/the-daily-show-with-trevor-noah/full-episodes Follow Comedy Central: Twitter: https://twitter.com/ComedyCentral Facebook: https://www.facebook.com/ComedyCentral Instagram: https://www.instagram.com/comedycentral About The Daily Show: Trevor Noah and The World's Fakest News Team tackle the biggest stories in news, politics and pop culture. The Daily Show with Trevor Noah airs weeknights at 11/10c on Comedy Central.	the daily show,trevor noah,daily show with trevor noah,the daily show episodes,comedy central,comedians,comedian,funny video,comedy videos,funny clips,noah trevor,trevor noah latest episode,daily show,trevor,news,politics,daily show trump,trevor noah trump,trump,climate change,Ronny Chieng,student strike,global warming,protests,big oil,whales,seismic testing,marine life,atlantic coast	23	Comedy	PT5M33S	333	2d	hd	True	https://i.ytimg.com/vi/M9ujPVxtZOI/maxresdefault.jpg	1.0	1290325	27152.0	556.0	0	939.0	climate crisis	False	0
103	104	103	104	103	350	113	UCqOoboPm3uhY_YXhvhmL-WA	Discovery	8Rvl6z80baI	2020-01-10T19:36:00Z	2020-01-10 19:36:00	NASA's Research on Climate Change | Above and Beyond	ABOVE AND BEYOND examines the role NASA plays both in our country & for our planet, celebrating past accomplishments, investigating current initiatives & surveying future plans. Watch the full length documentary on Discovery GO: https://go.discovery.com/tv-shows/above-and-beyond-nasas-journey-to-tomorrow Subscribe to Discovery: http://bit.ly/SubscribeDiscovery Join us on Facebook: https://www.facebook.com/Discovery Follow on Twitter: https://twitter.com/Discovery We're on Instagram! https://instagram.com/Discovery	nasa,space,disovery,discovery channel,discovery videos,discovery channel videos,nasa videos,space videos,outer space,galaxy,milky way,earth,planet earth,the planets,climate change,global warming	24	Entertainment	PT6M4S	364	2d	hd	False	https://i.ytimg.com/vi/8Rvl6z80baI/maxresdefault.jpg	1.0	86983	1963.0	199.0	0	935.0	climate crisis	False	0
